student_token,resource_id,resource_type,resource_title,resource_url,major,related_courses,interaction_source,user_id,item_id,rating
stu_009d578c031e4974,TIKI_277392524,tiki_book,- Quản Lý Dự Án Xây Dựng - Lập Và Thẩm Định Dự Án - TS. Bùi Ngọc Toàn - NXB Xây Dựng,https://tiki.vn/sach-quan-ly-du-an-xay-dung-lap-va-tham-dinh-du-an-ts-bui-ngoc-toan-nxb-xay-dung-p277392524.html?spid=279333156,Hệ thống hoạch định nguồn lực doanh nghiệp,Quản lý dự án CNTT,proxy_from_tiki_match_rating_review_sales,5,7,3.0251
stu_009d578c031e4974,TIKI_278632652,tiki_book,Hệ Thống Thông Tin Trong Y Tế,https://tiki.vn/sach-he-thong-thong-tin-trong-y-te-p278632652.html?spid=278632655,Hệ thống hoạch định nguồn lực doanh nghiệp,Phân tích hệ thống thông tin,proxy_from_tiki_match_rating_review_sales,5,140,1.9359283
stu_00a2a78a63f2c162,TIKI_531592,tiki_book,Thị Trường Tài Chính,https://tiki.vn/sach-thi-truong-tai-chinh-p531592.html?spid=89424628,Đầu tư tài chính,Thị trường tài chính,proxy_from_tiki_match_rating_review_sales,923,19,9.481633
stu_00b9e0b6b2593639,REPO_UEH_61282,ueh_repository,"Tỷ suất sinh lợi theo ngày cực đại, Biến động tỷ suất sinh lợi đặc trưng và Tỷ suất sinh lợi kỳ vọng, nghiên cứu tại sở giao dịch chứng khoán TP. Hồ Chí Minh giai đoạn 2010 - 2019",https://digital.lib.ueh.edu.vn/handle/UEH/61282,Khoa học máy tính,Trình biên dịch,proxy_from_repo_match_year_views,6,258,1.79115
stu_00f0b86637288e57,REPO_UEH_62651,ueh_repository,Ảnh hưởng của hệ thống hoạch định nguồn lực doanh nghiệp (ERP) đến kế toán quản trị trong các doanh nghiệp tại TP. HCM,https://digital.lib.ueh.edu.vn/handle/UEH/62651,Hệ thống hoạch định nguồn lực doanh nghiệp,Quản trị quy trình kinh doanh,proxy_from_repo_match_year_views,7,131,1.99915
stu_00f0b86637288e57,TIKI_271583421,tiki_book,"Hệ Thống Chỉ Tiêu Thống Kê Cấp Tỉnh, Cấp Huyện, Cấp Xã theo Quyết định 05/2023/QĐ-TTg ngày 24/02/2023 - V2205T",https://tiki.vn/sach-he-thong-chi-tieu-thong-ke-cap-tinh-cap-huyen-cap-xa-theo-quyet-dinh-05-2023-qd-ttg-ngay-24-02-2023-v2205t-p271583421.html?spid=271583422,Hệ thống hoạch định nguồn lực doanh nghiệp,Hệ thống ERP,proxy_from_tiki_match_rating_review_sales,7,35,1.5805
stu_012da647bfb8d133,REPO_UEH_63472,ueh_repository,Hoàn thiện hệ thống thông tin kế toán nhằm đáp ứng yêu cầu quản lý tại Trường Cao đẳng Nghề Thành phố Hồ Chí Minh,https://digital.lib.ueh.edu.vn/handle/UEH/63472,An toàn thông tin,Pháp lý an toàn thông tin,proxy_from_repo_match_year_views,924,27,1.381
stu_012da647bfb8d133,TIKI_278496130,tiki_book,Thanh Gươm Diệt Quỷ - 9- Đại Chiến Dịch Xâm Nhập Phố Đèn Đỏ,https://tiki.vn/thanh-guom-diet-quy-tap-1-tan-khoc-p278496130.html?spid=278496147,An toàn thông tin,Kiểm thử xâm nhập,proxy_from_tiki_match_rating_review_sales,924,120,4.221467
stu_012da647bfb8d133,TIKI_403233,tiki_book,Hệ Thống Thông Tin Kế Toán (Tập 3),https://tiki.vn/sach-he-thong-thong-tin-ke-toan-tap-3-p403233.html?spid=89424675,An toàn thông tin,An toàn hệ thống thông tin,proxy_from_tiki_match_rating_review_sales,924,124,3.5485697
stu_0155d6746bdbe341,REPO_UEH_62960,ueh_repository,Nâng cao quản trị rủi ro các dự án đầu tư tại Ban quản lý dự án hạ tầng II – Tổng công ty Hạ tầng mạng (VNPT NET),https://digital.lib.ueh.edu.vn/handle/UEH/62960,Hệ thống hoạch định nguồn lực doanh nghiệp,Quản lý dự án CNTT,proxy_from_repo_match_year_views,8,4,4.36305
stu_0155d6746bdbe341,TIKI_279286687,tiki_book,- Đơn Vị Hành Chính Việt Nam - Sau Sắp Xếp Và Vận Hành Chính Quyền Địa Phương Hai Cấp,https://tiki.vn/sach-don-vi-hanh-chinh-viet-nam-sau-sap-xep-va-van-hanh-chinh-quyen-dia-phuong-hai-cap-p279286687.html?spid=279286688,Hệ thống hoạch định nguồn lực doanh nghiệp,SAP căn bản,proxy_from_tiki_match_rating_review_sales,8,141,3.3148665
stu_0162381fab53ca26,REPO_UEH_62516,ueh_repository,Ứng dụng Big Data và ai trong xây dựng và khai thác cơ sở dữ liệu quốc gia về giá bất động sản tại Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/62516,Khoa học dữ liệu,Dữ liệu lớn và ứng dụng,proxy_from_repo_match_year_views,925,3,4.1804
stu_0162381fab53ca26,REPO_UEH_63165,ueh_repository,Phân tích hành vi khách hàng trong lĩnh vực bán lẻ với mô hình RFM tiếp cận bằng kỹ thuật học máy không giám sát,https://digital.lib.ueh.edu.vn/handle/UEH/63165,Khoa học dữ liệu,Học máy,proxy_from_repo_match_year_views,925,10,5.418
stu_0162381fab53ca26,REPO_UEH_63925,ueh_repository,Ứng dụng công nghệ Data Lake trong quản lý và khai phá dữ liệu của ngân hàng,https://digital.lib.ueh.edu.vn/handle/UEH/63925,Khoa học dữ liệu,Khai phá văn bản; Trực quan hóa dữ liệu,proxy_from_repo_match_year_views,925,52,2.4015
stu_0162381fab53ca26,TIKI_278226682,tiki_book,- Thiết Kế Hệ Thống Học Máy - Designing Machine Learning Systems,https://tiki.vn/sach-thiet-ke-he-thong-hoc-may-designing-machine-learning-systems-p278226682.html?spid=278226683,Khoa học dữ liệu,Học máy,proxy_from_tiki_match_rating_review_sales,925,37,8.039232
stu_01ad5644971613f3,REPO_UEH_61233,ueh_repository,"Đánh giá tác động của sự hiện diện xã hội, sự hiện diện giảng dạy và sự hiện diện nhận thức đến sự hài lòng của học viên trong học tập trực tuyến tại Thành phố Hồ Chí Minh",https://digital.lib.ueh.edu.vn/handle/UEH/61233,An toàn thông tin,Mật mã học,proxy_from_repo_match_year_views,926,102,1.5058
stu_01ad5644971613f3,REPO_UEH_63472,ueh_repository,Hoàn thiện hệ thống thông tin kế toán nhằm đáp ứng yêu cầu quản lý tại Trường Cao đẳng Nghề Thành phố Hồ Chí Minh,https://digital.lib.ueh.edu.vn/handle/UEH/63472,An toàn thông tin,Pháp lý an toàn thông tin,proxy_from_repo_match_year_views,926,27,1.381
stu_01ad5644971613f3,REPO_UEH_63911,ueh_repository,"Tác động của tính bảo mật, sự riêng tư, danh tiếng của nhà cung cấp và thái độ của người tiêu dùng đến ý định mua sắm trực tuyến",https://digital.lib.ueh.edu.vn/handle/UEH/63911,An toàn thông tin,Bảo mật mạng máy tính,proxy_from_repo_match_year_views,926,113,1.54155
stu_01ff2a11ef096965,TIKI_271583421,tiki_book,"Hệ Thống Chỉ Tiêu Thống Kê Cấp Tỉnh, Cấp Huyện, Cấp Xã theo Quyết định 05/2023/QĐ-TTg ngày 24/02/2023 - V2205T",https://tiki.vn/sach-he-thong-chi-tieu-thong-ke-cap-tinh-cap-huyen-cap-xa-theo-quyet-dinh-05-2023-qd-ttg-ngay-24-02-2023-v2205t-p271583421.html?spid=271583422,Hệ thống thông tin kinh doanh,Hệ thống hỗ trợ quyết định,proxy_from_tiki_match_rating_review_sales,1470,35,1.3099
stu_020fdfaa5fa49d33,REPO_UEH_62783,ueh_repository,Mối quan hệ giữa các tác nhân trong logistics ngược và kết quả kinh tế: Nghiên cứu trường hợp doanh nghiệp bán lẻ hàng điện tử tại Thành phố Đà Nẵng,https://digital.lib.ueh.edu.vn/handle/UEH/62783,Logistics và Quản lý chuỗi cung ứng,Logistics ngược,proxy_from_repo_match_year_views,927,90,7.19995
stu_020fdfaa5fa49d33,TIKI_217928722,tiki_book,Tính Toán Thiết Kế Hệ Thống Phân Phối Truyền Tải Điện,https://tiki.vn/tinh-toan-thiet-ke-he-thong-phan-phoi-truyen-tai-dien-p217928722.html?spid=217928723,Logistics và Quản lý chuỗi cung ứng,Vận tải và phân phối,proxy_from_tiki_match_rating_review_sales,927,40,1.9525167
stu_020fdfaa5fa49d33,TIKI_273744608,tiki_book,Quản lý chuỗi cung ứng thực phẩm và logistics,https://tiki.vn/sach-quan-ly-chuoi-cung-ung-thuc-pham-va-logistics-p273744608.html?spid=273744609,Logistics và Quản lý chuỗi cung ứng,Quản lý chuỗi cung ứng,proxy_from_tiki_match_rating_review_sales,927,17,9.3745
stu_020fdfaa5fa49d33,TIKI_279112554,tiki_book,- Right to Win For Vietnamese Agriculture - AgriS And Betrimex’s Path To Success In The Global Supply Chain,https://tiki.vn/sach-right-to-win-for-vietnamese-agriculture-agris-and-betrimex-s-path-to-success-in-the-global-supply-chain-p279112554.html?spid=279112555,Logistics và Quản lý chuỗi cung ứng,Công nghệ trong logistics; Logistics ngược,proxy_from_tiki_match_rating_review_sales,927,100,3.4748487
stu_0210c548016ada21,TIKI_260922789,tiki_book,"Khởi nghiệp công nghệ – Máu Bẩn (Bad Blood - Ảo tưởng, tham vọng, bí mật & sự dối trá trong vụ lừa đảo lớn nhất...)",https://tiki.vn/khoi-nghiep-cong-nghe-mau-ban-bad-blood-ao-tuong-tham-vong-bi-mat-su-doi-tra-trong-vu-lua-dao-lon-nhat-p260922789.html?spid=263589411,Kinh doanh nông nghiệp,Nông nghiệp công nghệ cao,proxy_from_tiki_match_rating_review_sales,928,25,1.8966665
stu_0228ea389f375d71,REPO_UEH_61307,ueh_repository,Quy trình xem xét các sự kiện phát sinh sau ngày kết thúc kỳ kế toán trong kiểm toán Báo cáo tài chính - Nghiên cứu thực nghiệm tại các công ty kiểm toán độc lập trên địa bàn TP.HCM,https://digital.lib.ueh.edu.vn/handle/UEH/61307,Khoa học máy tính,Lập trình hàm,proxy_from_repo_match_year_views,9,259,1.67025
stu_0228ea389f375d71,REPO_UEH_61484,ueh_repository,Các yếu tố ảnh hưởng đến quyết định phẫu thuật thẩm mỹ mũi cấu trúc tại TP.HCM,https://digital.lib.ueh.edu.vn/handle/UEH/61484,Khoa học máy tính,Cấu trúc dữ liệu và giải thuật,proxy_from_repo_match_year_views,9,47,1.7554
stu_0228ea389f375d71,TIKI_112442076,tiki_book,Tớ Đến Với Khoa Học Máy Tính: Sử Dụng Máy Tính An Toàn (Tái Bản),https://tiki.vn/sach-to-den-voi-khoa-hoc-may-tinh-su-dung-may-tinh-an-toan-tai-ban-p112442076.html?spid=112442077,Khoa học máy tính,Lý thuyết tính toán,proxy_from_tiki_match_rating_review_sales,9,272,2.150171
stu_0228ea389f375d71,TIKI_112442080,tiki_book,Tớ Đến Với Khoa Học Máy Tính: Thuật Toán Và Lập Trình (Tái Bản),https://tiki.vn/sach-to-den-voi-khoa-hoc-may-tinh-thuat-toan-va-lap-trinh-tai-ban-p112442080.html?spid=112442081,Khoa học máy tính,Lập trình hàm,proxy_from_tiki_match_rating_review_sales,9,273,3.8186717
stu_0228ea389f375d71,TIKI_269955449,tiki_book,- Giáo trình cấu trúc dữ liệu và giải thuật,https://tiki.vn/sach-giao-trinh-cau-truc-du-lieu-va-giai-thuat-p269955449.html?spid=269955450,Khoa học máy tính,Cấu trúc dữ liệu và giải thuật,proxy_from_tiki_match_rating_review_sales,9,282,9.546716
stu_025567b2c7534f7b,REPO_UEH_62737,ueh_repository,Hạn chế rủi ro tín dụng cho vay tiêu dùng tại Ngân hàng Nông nghiệp và phát triển Nông thôn Việt Nam – chi nhánh Thành phố Sóc Trăng,https://digital.lib.ueh.edu.vn/handle/UEH/62737,Kinh doanh nông nghiệp,Chính sách nông nghiệp; Tài chính nông nghiệp,proxy_from_repo_match_year_views,929,62,3.611
stu_025567b2c7534f7b,REPO_UEH_62921,ueh_repository,Xây dựng bộ tiêu chí đánh giá hiệu quả ứng dụng kết quả nghiên cứu khoa học và công nghệ cấp cơ sở trong lĩnh vực nông nghiệp trên địa bàn tỉnh An Giang,https://digital.lib.ueh.edu.vn/handle/UEH/62921,Kinh doanh nông nghiệp,Nông nghiệp công nghệ cao,proxy_from_repo_match_year_views,929,64,3.4056
stu_025567b2c7534f7b,TIKI_195792313,tiki_book,Tinh Hoa Kinh Tế Học (Essentials Of Economics) - Tặng sổ tay xương rồng,https://tiki.vn/sach-tinh-hoa-kinh-te-hoc-essentials-of-economics-tang-so-tay-xuong-rong-p195792313.html?spid=195792314,Kinh doanh nông nghiệp,Kinh tế nông nghiệp,proxy_from_tiki_match_rating_review_sales,929,28,3.4604073
stu_025567b2c7534f7b,TIKI_260922789,tiki_book,"Khởi nghiệp công nghệ – Máu Bẩn (Bad Blood - Ảo tưởng, tham vọng, bí mật & sự dối trá trong vụ lừa đảo lớn nhất...)",https://tiki.vn/khoi-nghiep-cong-nghe-mau-ban-bad-blood-ao-tuong-tham-vong-bi-mat-su-doi-tra-trong-vu-lua-dao-lon-nhat-p260922789.html?spid=263589411,Kinh doanh nông nghiệp,Nông nghiệp công nghệ cao,proxy_from_tiki_match_rating_review_sales,929,25,1.8966665
stu_025567b2c7534f7b,TIKI_277041821,tiki_book,Xuất Khẩu Hàng Nông Sản Chủ Lực Của Việt Nam Sang Thị Trường Liên Minh Châu Âu (EU) Đến Năm 2025 (Sách Chuyên Khảo),https://tiki.vn/xuat-khau-hang-nong-san-chu-luc-cua-viet-nam-sang-thi-truong-lien-minh-chau-au-eu-den-nam-2025-sach-chuyen-khao-p277041821.html?spid=277041822,Kinh doanh nông nghiệp,Marketing nông sản,proxy_from_tiki_match_rating_review_sales,929,76,2.9656165
stu_027a60d511f604c1,TIKI_279085060,tiki_book,"Quy định pháp luật về xử phạt vi phạm trong hoạt động thương mại, sản xuất, buôn bán hàng giả, hàng cấm và bảo vệ quyền lợi người tiêu dùng",https://tiki.vn/quy-dinh-phap-luat-ve-xu-phat-vi-pham-trong-hoat-dong-thuong-mai-san-xuat-buon-ban-hang-gia-hang-cam-va-bao-ve-quyen-loi-nguoi-tieu-dung-p279085060.html?spid=279085062,Marketing,Hành vi người tiêu dùng,proxy_from_tiki_match_rating_review_sales,10,15,3.1883664
stu_028b11ad8cbc6bdf,REPO_UEH_62540,ueh_repository,Ứng dụng công nghệ trí tuệ nhân tạo trong dịch vụ tài chính tại thị trường tài chính Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/62540,Công nghệ Tài chính,Trí tuệ nhân tạo trong tài chính,proxy_from_repo_match_year_views,12,0,4.586
stu_028b11ad8cbc6bdf,TIKI_279106463,tiki_book,Ngân hàng số - Nguyễn Quang Lộc - TH189,https://tiki.vn/ngan-hang-so-nguyen-quang-loc-th189-p279106463.html?spid=279106464,Công nghệ Tài chính,Fintech và ngân hàng số,proxy_from_tiki_match_rating_review_sales,12,44,1.7826502
stu_029f263039081be7,REPO_UEH_61322,ueh_repository,Nghiên cứu về các nhân tố ảnh hưởng đến trải nghiệm sự hứng thú hăng say - học tập & hiệu quả học tập qua kênh học trực tuyến của sinh viên Đại Học Kinh Tế Tp. Hồ Chí Minh,https://digital.lib.ueh.edu.vn/handle/UEH/61322,Kinh tế,Lịch sử các học thuyết kinh tế,proxy_from_repo_match_year_views,1471,260,1.8061
stu_029f263039081be7,REPO_UEH_63654,ueh_repository,Tác động bất đối xứng của phát triển tài chính lên tăng trưởng kinh tế Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/63654,Kinh tế,Kinh tế phát triển,proxy_from_repo_match_year_views,1471,270,3.57005
stu_02aa803284772bd9,REPO_UEH_63558,ueh_repository,"Chính sách tiền tệ, nắm giữ tiền mặt và đầu tư doanh nghiệp: Bằng chứng thực nghiệm tại Việt Nam",https://digital.lib.ueh.edu.vn/handle/UEH/63558,Kinh tế đầu tư,Chính sách đầu tư,proxy_from_repo_match_year_views,13,111,2.0245
stu_02bd6ce789bd0042,REPO_UEH_62589,ueh_repository,"Pháp luật về xử phạt vi phạm hành chính về xử lý nước thải-thực tiễn áp dụng đối với các cơ sở sản xuất, kinh doanh tại thị xã La Gi, tỉnh Bình Thuận",https://digital.lib.ueh.edu.vn/handle/UEH/62589,Quản lý công,Luật hành chính,proxy_from_repo_match_year_views,14,87,2.252
stu_02bd6ce789bd0042,TIKI_168780451,tiki_book,"Thị Trường, Nhà Nước Và Người Dân: Kinh Tế Học Về Chính Sách Công",https://tiki.vn/thi-truong-nha-nuoc-va-nguoi-dan-kinh-te-hoc-ve-chinh-sach-cong-p168780451.html?spid=168780452,Quản lý công,Chính sách công,proxy_from_tiki_match_rating_review_sales,14,95,9.68337
stu_02bd6ce789bd0042,TIKI_207201346,tiki_book,Pháp luật điều chỉnh hoạt động kinh doanh dịch vụ của công ty chứng khoán,https://tiki.vn/phap-luat-dieu-chinh-hoat-dong-kinh-doanh-dich-vu-cua-cong-ty-chung-khoan-p207201346.html?spid=276756959,Quản lý công,Quản trị dịch vụ công,proxy_from_tiki_match_rating_review_sales,14,21,1.911983
stu_02c562f45b1d6585,REPO_UEH_62432,ueh_repository,Chuyển đổi báo cáo tài chính từ chuẩn mực kế toán Việt Nam sang chuẩn mực báo cáo tài chính quốc tế - Nghiên cứu tại Công ty Cổ phần Khu công Nnghiệp Nam Tân Uyên,https://digital.lib.ueh.edu.vn/handle/UEH/62432,Kế toán doanh nghiệp,Phân tích báo cáo tài chính,proxy_from_repo_match_year_views,15,2,3.84825
stu_02c562f45b1d6585,TIKI_278731661,tiki_book,Kế Toán Quản Trị - Managerial Accounting,https://tiki.vn/ke-toan-quan-tri-managerial-accounting-p278731661.html?spid=278731662,Kế toán doanh nghiệp,Kế toán quản trị,proxy_from_tiki_match_rating_review_sales,15,56,7.1506667
stu_02de5376ad86d3da,TIKI_94851869,tiki_book,"Nghiệp Vụ Dành Cho Kế Toán Kiểm Toán Nội Bộ Chuẩn Mực, Nguyên Tắc Đạo Đức Nghề Nghiệp Và Quy Chế Kiểm Toán Nội Bộ Trong Các Cơ Quan Nhà Nước, Đơn Vị Sự Nghiệp Công Lập Và Doanh Nghiệp",https://tiki.vn/sach-nghiep-vu-danh-cho-ke-toan-kiem-toan-noi-bo-chuan-muc-nguyen-tac-dao-duc-nghe-nghiep-va-quy-che-kiem-toan-noi-bo-trong-cac-co-quan-nha-nuoc-don-vi-su-nghiep-cong-lap-va-doanh-nghiep-p94851869.html?spid=94851870,Kiểm toán,Chuẩn mực kiểm toán quốc tế; Kiểm toán nội bộ,proxy_from_tiki_match_rating_review_sales,1472,1,8.943491
stu_02e5721d62372eff,TIKI_277392524,tiki_book,- Quản Lý Dự Án Xây Dựng - Lập Và Thẩm Định Dự Án - TS. Bùi Ngọc Toàn - NXB Xây Dựng,https://tiki.vn/sach-quan-ly-du-an-xay-dung-lap-va-tham-dinh-du-an-ts-bui-ngoc-toan-nxb-xay-dung-p277392524.html?spid=279333156,Kiến trúc và thiết kế đô thị thông minh,Quản lý dự án xây dựng,proxy_from_tiki_match_rating_review_sales,16,7,7.4043
stu_030af84750294ef7,REPO_UEH_62651,ueh_repository,Ảnh hưởng của hệ thống hoạch định nguồn lực doanh nghiệp (ERP) đến kế toán quản trị trong các doanh nghiệp tại TP. HCM,https://digital.lib.ueh.edu.vn/handle/UEH/62651,Hệ thống hoạch định nguồn lực doanh nghiệp,Quản trị quy trình kinh doanh,proxy_from_repo_match_year_views,17,131,1.99915
stu_030af84750294ef7,REPO_UEH_63276,ueh_repository,Các nhân tố ảnh hưởng đến sự thỏa mãn của nhân viên kế toán trong việc sử dụng hệ thống hoạch định nguồn lực doanh nghiệp (ERP) ở các doanh nghiệp tại TP. Hồ Chí Minh,https://digital.lib.ueh.edu.vn/handle/UEH/63276,Hệ thống hoạch định nguồn lực doanh nghiệp,Hệ thống ERP,proxy_from_repo_match_year_views,17,134,9.03555
stu_030af84750294ef7,TIKI_254139138,tiki_book,"Giáo Trình Kinh Tế Thương Mại - Dịch Vụ Dành Cho Nghành Kinh Tế, Logistics Và Quản Trị Kinh Doanh",https://tiki.vn/giao-trinh-kinh-te-thuong-mai-dich-vu-danh-cho-nghanh-kinh-te-logistics-va-quan-tri-kinh-doanh-p254139138.html?spid=254139139,Hệ thống hoạch định nguồn lực doanh nghiệp,Quản trị quy trình kinh doanh,proxy_from_tiki_match_rating_review_sales,17,138,1.2967
stu_030af84750294ef7,TIKI_276237667,tiki_book,Tích Hợp Hệ Thống Tự Động Điều Khiển Quá Trình Công Nghệ Sinh Học Và Công Nghệ Thực Phẩm,https://tiki.vn/tich-hop-he-thong-tu-dong-dieu-khien-qua-trinh-cong-nghe-sinh-hoc-va-cong-nghe-thuc-pham-p276237667.html?spid=276237668,Hệ thống hoạch định nguồn lực doanh nghiệp,Tích hợp hệ thống,proxy_from_tiki_match_rating_review_sales,17,22,9.109388
stu_031b4075586cc07c,TIKI_11860704,tiki_book,Combo Marketing Căn Bản và Tiếp thị 4.0 - Dịch Chuyển Từ Truyền Thống Sang Công Nghệ Số ( Tặng Kèm Sổ Tay),https://tiki.vn/combo-marketing-can-ban-va-tiep-thi-4-0-dich-chuyen-tu-truyen-thong-sang-cong-nghe-so-tang-kem-so-tay-p11860704.html?spid=11860705,Công nghệ nghệ thuật - ArtTech,Công nghệ truyền thông sáng tạo,proxy_from_tiki_match_rating_review_sales,18,158,5.783668
stu_036c57ba185f3cdc,TIKI_276849016,tiki_book,- Thuật Đàm Phán - Negotiation (Tái Bản 2024),https://tiki.vn/sach-thuat-dam-phan-negotiation-tai-ban-2024-p276849016.html?spid=276849017,Logistics và Quản lý chuỗi cung ứng,Mua hàng và đàm phán,proxy_from_tiki_match_rating_review_sales,930,97,2.0312502
