student_token,major,major_norm,cohort,course_order,course,course_norm,resource_type,resource_id,resource_title,resource_url,search_keywords,match_reason,match_score,confidence,rating_average,review_count,quantity_sold,price,confidence_score,rating_score,review_score,sales_score,search_signal_score,quality_score,popularity_score,recommendation_score,model_explanation,duplicate_rank,course_rank,student_rank
stu_004191135ece3f93,Toán tài chính,toan tai chinh,25,2,Xác suất và thống kê,xac suat va thong ke,tiki_book,270847837,Xác Suất Thống Kê (Dùng cho sinh viên các trường Kỹ Thuật và Công Nghệ),https://tiki.vn/xac-suat-thong-ke-dung-cho-sinh-vien-cac-truong-ky-thuat-va-cong-nghe-tai-ban-lan-thu-tu-nam-2023-p270847837.html?spid=270847838,thống kê; xác suất thống kê,strong_course_tokens_in_title; strong_course_tokens_in_secondary_text,94.0,high,5.0,2.0,35.0,126000.0,100.0,100.0,24.169470350698415,39.418708323017206,70.0,77.25,34.08,82.5,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,1,2
stu_004191135ece3f93,Toán tài chính,toan tai chinh,25,5,Quản lý rủi ro định lượng,quan ly rui ro dinh luong,tiki_book,196280121,HBR Onpoint 2021: Quản Lý Rủi Ro (Tái Bản 2022),https://tiki.vn/hbr-onpoint-2021-quan-ly-rui-ro-tai-ban-2022-p196280121.html?spid=197410266,quản trị rủi ro ngân hàng,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,39.01,medium,4.8,6.0,92.0,215000.0,60.0,96.0,42.81002327921689,49.85859442468582,70.0,80.04,47.39,52.17,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,1,3
stu_004191135ece3f93,Toán tài chính,toan tai chinh,25,5,Quản lý rủi ro định lượng,quan ly rui ro dinh luong,ueh_repository,UEH/63322,Quản lý rủi ro tỷ giá trong hoạt kinh doanh ngoại hối tại Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/63322,,partial_course_tokens_in_title; strong_course_tokens_in_secondary_text,43.59,medium,,,,,60.0,80.0,50.0,50.0,50.0,80.0,50.0,51.65,UEH Repository: content match + confidence + publication year + views,1,2,4
stu_004191135ece3f93,Toán tài chính,toan tai chinh,25,6,Mô hình tài chính,mo hinh tai chinh,ueh_repository,UEH/63535,Phân tích các nhân tố tác động đến hiệu quả chuỗi cung ứng – Nghiên cứu mô hình tại Công ty Cổ phần Acecook Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/63535,,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,33.79,medium,,,,,60.0,80.0,50.0,50.0,50.0,80.0,50.0,45.77,UEH Repository: content match + confidence + publication year + views,1,1,5
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,kien truc va thiet ke do thi thong minh,23,2,Quy hoạch đô thị,quy hoach do thi,ueh_repository,UEH/61148,Thực trạng thực thi pháp luật về quy hoạch đô thị trên địa bàn tỉnh Cà Mau,https://digital.lib.ueh.edu.vn/handle/UEH/61148,,exact_course_in_title; exact_course_in_secondary_text,100.0,high,,,,,100.0,80.0,50.0,50.0,50.0,80.0,50.0,95.5,UEH Repository: content match + confidence + publication year + views,1,1,1
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,kien truc va thiet ke do thi thong minh,23,6,Quản lý dự án xây dựng,quan ly du an xay dung,tiki_book,277392524,- Quản Lý Dự Án Xây Dựng - Lập Và Thẩm Định Dự Án - TS. Bùi Ngọc Toàn - NXB Xây Dựng,https://tiki.vn/sach-quan-ly-du-an-xay-dung-lap-va-tham-dinh-du-an-ts-bui-ngoc-toan-nxb-xay-dung-p277392524.html?spid=279333156,quản trị dự án,exact_course_in_title; partial_course_tokens_in_secondary_text,98.26,high,0.0,0.0,,119560.0,100.0,50.0,50.0,50.0,100.0,50.0,50.0,84.22,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,1,2
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,kien truc va thiet ke do thi thong minh,23,6,Quản lý dự án xây dựng,quan ly du an xay dung,ueh_repository,UEH/62960,Nâng cao quản trị rủi ro các dự án đầu tư tại Ban quản lý dự án hạ tầng II – Tổng công ty Hạ tầng mạng (VNPT NET),https://digital.lib.ueh.edu.vn/handle/UEH/62960,,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,38.54,medium,,,,,60.0,80.0,50.0,50.0,50.0,80.0,50.0,48.62,UEH Repository: content match + confidence + publication year + views,1,2,3
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,kien truc va thiet ke do thi thong minh,23,5,Công nghệ BIM,cong nghe bim,tiki_book,53259393,- Mẹ Bỉm Sữa Kinh Doanh Online DL,https://tiki.vn/sach-me-bim-sua-kinh-doanh-online-dl-p53259393.html?spid=53259395,kinh doanh online,partial_course_tokens_in_title,42.57,medium,5.0,1.0,5.0,157440.0,60.0,100.0,15.249237972318797,19.709354161508603,70.0,74.57,18.15,48.56,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,1,4
stu_00425f58ce521820,Kiến trúc và thiết kế đô thị thông minh,kien truc va thiet ke do thi thong minh,23,1,Thiết kế đô thị thông minh,thiet ke do thi thong minh,tiki_book,274890405,"- Nhận Diện Nghệ Thuật Đồ Họa - Để nghiên cứu , sáng tác và giảng dạy Thiết Kế Đồ Họa ( Tặng kèm sổ tay xương rồng )",https://tiki.vn/sach-nhan-dien-nghe-thuat-do-hoa-de-nghien-cuu-sang-tac-va-giang-day-thiet-ke-do-hoa-tang-kem-so-tay-xuong-rong-p274890405.html?spid=274890406,thiết kế nghiên cứu,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,28.1,low,0.0,0.0,4.0,560000.0,30.0,50.0,50.0,17.703817036775103,70.0,50.0,29.01,34.0,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,1,5
stu_006661cad9063305,Hệ thống hoạch định nguồn lực doanh nghiệp,he thong hoach dinh nguon luc doanh nghiep,24,1,Hệ thống ERP,he thong erp,ueh_repository,UEH/63276,Các nhân tố ảnh hưởng đến sự thỏa mãn của nhân viên kế toán trong việc sử dụng hệ thống hoạch định nguồn lực doanh nghiệp (ERP) ở các doanh nghiệp tại TP. Hồ Chí Minh,https://digital.lib.ueh.edu.vn/handle/UEH/63276,,partial_course_tokens_in_title; exact_course_in_secondary_text; exact_major_in_title,97.47,high,,,,,100.0,80.0,50.0,50.0,50.0,80.0,50.0,93.98,UEH Repository: content match + confidence + publication year + views,1,1,1
stu_006661cad9063305,Hệ thống hoạch định nguồn lực doanh nghiệp,he thong hoach dinh nguon luc doanh nghiep,24,6,Tích hợp hệ thống,tich hop he thong,tiki_book,276237667,Tích Hợp Hệ Thống Tự Động Điều Khiển Quá Trình Công Nghệ Sinh Học Và Công Nghệ Thực Phẩm,https://tiki.vn/tich-hop-he-thong-tu-dong-dieu-khien-qua-trinh-cong-nghe-sinh-hoc-va-cong-nghe-thuc-pham-p276237667.html?spid=276237668,công nghệ thông tin,exact_course_in_title; partial_course_tokens_in_secondary_text,97.83,high,5.0,1.0,1.0,249000.0,100.0,100.0,15.249237972318797,7.6246189861593985,100.0,74.57,10.29,81.75,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,1,2
stu_006661cad9063305,Hệ thống hoạch định nguồn lực doanh nghiệp,he thong hoach dinh nguon luc doanh nghiep,24,6,Tích hợp hệ thống,tich hop he thong,ueh_repository,UEH/62975,Hoàn thiện hệ thống quản lý chất lượng tích hợp tại Công ty Cổ phần Mỹ phẩm Sài Gòn (SCC),https://digital.lib.ueh.edu.vn/handle/UEH/62975,,partial_course_tokens_in_title; strong_course_tokens_in_secondary_text,53.97,medium,,,,,60.0,80.0,50.0,50.0,50.0,80.0,50.0,57.88,UEH Repository: content match + confidence + publication year + views,1,2,3
stu_006661cad9063305,Hệ thống hoạch định nguồn lực doanh nghiệp,he thong hoach dinh nguon luc doanh nghiep,24,3,SAP căn bản,sap can ban,ueh_repository,UEH/63148,Các nhân tố ảnh hưởng đến chất lượng thông tin kế toán tại các doanh nghiệp dịch vụ ứng dụng hệ thống hoạch định nguồn lực doanh nghiệp (ERP) trên địa bàn khu vực Đông Nam Bộ,https://digital.lib.ueh.edu.vn/handle/UEH/63148,,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text; exact_major_in_title,47.8,medium,,,,,60.0,80.0,50.0,50.0,50.0,80.0,50.0,54.18,UEH Repository: content match + confidence + publication year + views,1,1,4
stu_006661cad9063305,Hệ thống hoạch định nguồn lực doanh nghiệp,he thong hoach dinh nguon luc doanh nghiep,24,5,Quản lý dự án CNTT,quan ly du an cntt,ueh_repository,UEH/62960,Nâng cao quản trị rủi ro các dự án đầu tư tại Ban quản lý dự án hạ tầng II – Tổng công ty Hạ tầng mạng (VNPT NET),https://digital.lib.ueh.edu.vn/handle/UEH/62960,,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,40.97,medium,,,,,60.0,80.0,50.0,50.0,50.0,80.0,50.0,50.08,UEH Repository: content match + confidence + publication year + views,1,1,5
stu_0082f6f3f256c8f5,Quản lý công,quan ly cong,25,2,Chính sách công,chinh sach cong,ueh_repository,UEH/61534,"Nghiên cứu các yếu tố ảnh hưởng đến sự hài lòng của người dân đối với dịch vụ hành chính công tại Uỷ ban nhân dân phường Tân Quy, Quận 7, Thành phố Hồ Chí Minh",https://digital.lib.ueh.edu.vn/handle/UEH/61534,,strong_course_tokens_in_title; strong_course_tokens_in_secondary_text,94.79,high,,,,,100.0,80.0,50.0,50.0,50.0,80.0,50.0,92.37,UEH Repository: content match + confidence + publication year + views,1,1,1
stu_0082f6f3f256c8f5,Quản lý công,quan ly cong,25,2,Chính sách công,chinh sach cong,tiki_book,168780451,"Thị Trường, Nhà Nước Và Người Dân: Kinh Tế Học Về Chính Sách Công",https://tiki.vn/thi-truong-nha-nuoc-va-nguoi-dan-kinh-te-hoc-ve-chinh-sach-cong-p168780451.html?spid=168780452,kinh tế chính trị,exact_course_in_title; partial_course_tokens_in_secondary_text,100.0,high,5.0,1.0,24.0,257000.0,100.0,100.0,15.249237972318797,35.407634073550206,100.0,74.57,28.35,85.44,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,2,2
stu_0082f6f3f256c8f5,Quản lý công,quan ly cong,25,1,Quản lý hành chính công,quan ly hanh chinh cong,ueh_repository,UEH/62794,Thực hiện tiết kiệm chi kinh phí quản lý hành chính tại Sở Tài chính tỉnh Bà Rịa - Vũng Tàu,https://digital.lib.ueh.edu.vn/handle/UEH/62794,,strong_course_tokens_in_title; strong_course_tokens_in_secondary_text,73.66,high,,,,,100.0,80.0,50.0,50.0,50.0,80.0,50.0,79.7,UEH Repository: content match + confidence + publication year + views,1,1,3
stu_0082f6f3f256c8f5,Quản lý công,quan ly cong,25,3,Tài chính công,tai chinh cong,tiki_book,277165601,CFO Quản Trị Tài Chính Công Ty Cổ Phần,https://tiki.vn/cfo-quan-tri-tai-chinh-cong-ty-co-phan-p277165601.html?spid=277165602,quản trị tài chính,exact_course_in_title; partial_course_tokens_in_secondary_text,72.92,high,5.0,2.0,54.0,546000.0,100.0,100.0,24.169470350698415,44.08066503755718,100.0,77.25,37.11,74.97,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,1,4
stu_0082f6f3f256c8f5,Quản lý công,quan ly cong,25,3,Tài chính công,tai chinh cong,ueh_repository,UEH/62646,Các nhân tố ảnh hưởng đến tính minh bạch của thông tin trên báo cáo tài chính của các công ty niêm yết có vốn đầu tư nước ngoài trên Sàn Giao dịch Chứng khoán TP. HCM,https://digital.lib.ueh.edu.vn/handle/UEH/62646,,partial_course_tokens_in_title; strong_course_tokens_in_secondary_text,44.4,medium,,,,,60.0,80.0,50.0,50.0,50.0,80.0,50.0,52.14,UEH Repository: content match + confidence + publication year + views,1,2,5
stu_009d578c031e4974,Hệ thống hoạch định nguồn lực doanh nghiệp,he thong hoach dinh nguon luc doanh nghiep,23,1,Hệ thống ERP,he thong erp,ueh_repository,UEH/63276,Các nhân tố ảnh hưởng đến sự thỏa mãn của nhân viên kế toán trong việc sử dụng hệ thống hoạch định nguồn lực doanh nghiệp (ERP) ở các doanh nghiệp tại TP. Hồ Chí Minh,https://digital.lib.ueh.edu.vn/handle/UEH/63276,,partial_course_tokens_in_title; exact_course_in_secondary_text; exact_major_in_title,97.47,high,,,,,100.0,80.0,50.0,50.0,50.0,80.0,50.0,93.98,UEH Repository: content match + confidence + publication year + views,1,1,1
stu_009d578c031e4974,Hệ thống hoạch định nguồn lực doanh nghiệp,he thong hoach dinh nguon luc doanh nghiep,23,6,Tích hợp hệ thống,tich hop he thong,tiki_book,276237667,Tích Hợp Hệ Thống Tự Động Điều Khiển Quá Trình Công Nghệ Sinh Học Và Công Nghệ Thực Phẩm,https://tiki.vn/tich-hop-he-thong-tu-dong-dieu-khien-qua-trinh-cong-nghe-sinh-hoc-va-cong-nghe-thuc-pham-p276237667.html?spid=276237668,công nghệ thông tin,exact_course_in_title; partial_course_tokens_in_secondary_text,97.83,high,5.0,1.0,1.0,249000.0,100.0,100.0,15.249237972318797,7.6246189861593985,100.0,74.57,10.29,81.75,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,1,2
stu_009d578c031e4974,Hệ thống hoạch định nguồn lực doanh nghiệp,he thong hoach dinh nguon luc doanh nghiep,23,6,Tích hợp hệ thống,tich hop he thong,ueh_repository,UEH/62975,Hoàn thiện hệ thống quản lý chất lượng tích hợp tại Công ty Cổ phần Mỹ phẩm Sài Gòn (SCC),https://digital.lib.ueh.edu.vn/handle/UEH/62975,,partial_course_tokens_in_title; strong_course_tokens_in_secondary_text,53.97,medium,,,,,60.0,80.0,50.0,50.0,50.0,80.0,50.0,57.88,UEH Repository: content match + confidence + publication year + views,1,2,3
stu_009d578c031e4974,Hệ thống hoạch định nguồn lực doanh nghiệp,he thong hoach dinh nguon luc doanh nghiep,23,3,SAP căn bản,sap can ban,ueh_repository,UEH/63148,Các nhân tố ảnh hưởng đến chất lượng thông tin kế toán tại các doanh nghiệp dịch vụ ứng dụng hệ thống hoạch định nguồn lực doanh nghiệp (ERP) trên địa bàn khu vực Đông Nam Bộ,https://digital.lib.ueh.edu.vn/handle/UEH/63148,,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text; exact_major_in_title,47.8,medium,,,,,60.0,80.0,50.0,50.0,50.0,80.0,50.0,54.18,UEH Repository: content match + confidence + publication year + views,1,1,4
stu_009d578c031e4974,Hệ thống hoạch định nguồn lực doanh nghiệp,he thong hoach dinh nguon luc doanh nghiep,23,5,Quản lý dự án CNTT,quan ly du an cntt,ueh_repository,UEH/62960,Nâng cao quản trị rủi ro các dự án đầu tư tại Ban quản lý dự án hạ tầng II – Tổng công ty Hạ tầng mạng (VNPT NET),https://digital.lib.ueh.edu.vn/handle/UEH/62960,,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,40.97,medium,,,,,60.0,80.0,50.0,50.0,50.0,80.0,50.0,50.08,UEH Repository: content match + confidence + publication year + views,1,1,5
stu_00a2a78a63f2c162,Đầu tư tài chính,dau tu tai chinh,24,6,Phân tích kỹ thuật,phan tich ky thuat,tiki_book,77339644,Phân tích kỹ thuật trong thị trường tài chính,https://tiki.vn/phan-tich-ky-thuat-trong-thi-truong-tai-chinh-p77339644.html?spid=84882958,nghiên cứu thị trường; phân tích tài chính; phân tích kỹ thuật; phân tích cơ bản,exact_course_in_title; exact_course_in_secondary_text,100.0,high,4.8,97.0,464.0,248100.0,100.0,96.0,100.0,67.56241146146091,100.0,97.2,78.92,96.42,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,1,1
stu_00a2a78a63f2c162,Đầu tư tài chính,dau tu tai chinh,24,3,Thị trường tài chính,thi truong tai chinh,tiki_book,531592,Thị Trường Tài Chính,https://tiki.vn/sach-thi-truong-tai-chinh-p531592.html?spid=89424628,chính sách tài khóa; nghiên cứu thị trường; sách tài chính; phân tích tài chính,exact_course_in_title; strong_course_tokens_in_secondary_text,90.95,high,4.6,8.0,71.0,56000.0,100.0,92.0,48.33894070139683,47.04332730917661,100.0,78.9,47.5,84.89,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,1,2
stu_00a2a78a63f2c162,Đầu tư tài chính,dau tu tai chinh,24,5,Tài chính hành vi,tai chinh hanh vi,ueh_repository,UEH/62544,Ảnh hưởng của các yếu tố tài chính hành vi suy nghiệm đến hiệu suất đầu tư của nhà đầu tư cá nhân trên thị trường chứng khoán Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/62544,,exact_course_in_title; exact_course_in_secondary_text,82.06,high,,,,,100.0,80.0,50.0,50.0,50.0,80.0,50.0,84.74,UEH Repository: content match + confidence + publication year + views,1,1,3
stu_00a2a78a63f2c162,Đầu tư tài chính,dau tu tai chinh,24,1,Phân tích đầu tư chứng khoán,phan tich dau tu chung khoan,tiki_book,279336919,- Kỹ Thuật Phân Tích Đầu Tư Chứng Khoán (Tái Bản 2026),https://tiki.vn/sach-ky-thuat-phan-tich-dau-tu-chung-khoan-tai-ban-2026-p279336919.html?spid=279336920,chứng khoán; đầu tư chứng khoán; phân tích kỹ thuật,exact_course_in_title; strong_course_tokens_in_secondary_text,90.7,high,0.0,0.0,,208000.0,100.0,50.0,50.0,50.0,100.0,50.0,50.0,80.82,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,1,4
stu_00a2a78a63f2c162,Đầu tư tài chính,dau tu tai chinh,24,3,Thị trường tài chính,thi truong tai chinh,ueh_repository,UEH/62540,Ứng dụng công nghệ trí tuệ nhân tạo trong dịch vụ tài chính tại thị trường tài chính Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/62540,,exact_course_in_title; partial_course_tokens_in_secondary_text,70.95,high,,,,,100.0,80.0,50.0,50.0,50.0,80.0,50.0,78.07,UEH Repository: content match + confidence + publication year + views,1,2,5
stu_00b9e0b6b2593639,Khoa học máy tính,khoa hoc may tinh,24,1,Cấu trúc dữ liệu và giải thuật,cau truc du lieu va giai thuat,tiki_book,269955449,- Giáo trình cấu trúc dữ liệu và giải thuật,https://tiki.vn/sach-giao-trinh-cau-truc-du-lieu-va-giai-thuat-p269955449.html?spid=269955450,cơ sở dữ liệu,exact_course_in_title; partial_course_tokens_in_secondary_text,95.15,high,5.0,4.0,23.0,110000.0,100.0,100.0,35.407634073550206,34.9585921338274,100.0,80.62,35.12,85.18,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,1,1
stu_00b9e0b6b2593639,Khoa học máy tính,khoa hoc may tinh,24,5,Trình biên dịch,trinh bien dich,tiki_book,182480871,The Experience Economy: Nền Kinh Tế Trải Nghiệm - Biến Dịch Vụ Của Bạn Thành Trải Nghiệm Khách Hàng,https://tiki.vn/the-experience-economy-nen-kinh-te-trai-nghiem-bien-dich-vu-cua-ban-thanh-trai-nghiem-khach-hang-p182480871.html?spid=258929164,political economy,partial_course_tokens_in_title,31.68,medium,0.0,0.0,,299000.0,60.0,50.0,50.0,50.0,70.0,50.0,50.0,44.76,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,1,2
stu_00b9e0b6b2593639,Khoa học máy tính,khoa hoc may tinh,24,4,Hệ điều hành,he dieu hanh,ueh_repository,UEH/63620,"Đặc điểm quá tự tin, thù lao giám đốc điều hành và hiệu quả hoạt động của các doanh nghiệp niêm yết trên thị trường chứng khoán Việt Nam",https://digital.lib.ueh.edu.vn/handle/UEH/63620,,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,28.32,medium,,,,,60.0,80.0,50.0,50.0,50.0,80.0,50.0,42.49,UEH Repository: content match + confidence + publication year + views,1,1,3
stu_00b9e0b6b2593639,Khoa học máy tính,khoa hoc may tinh,24,3,Kiến trúc máy tính,kien truc may tinh,tiki_book,115126767,"Everything You Need To Ace Computer Science And Coding Big Fat Notebooks - Sổ Tay Khoa Học Máy Tính Và Mã Hóa ( Tiếng Anh, Lớp 8 - Lớp 12 ) - - Nâng Cao Kiến Thức Khoa Học Máy Tính Và Lập Trình - Á Châu Books, Bìa Cứng, In Màu",https://tiki.vn/sach-everything-you-need-to-ace-computer-science-and-coding-big-fat-notebooks-so-tay-may-tinh-tieng-anh-lop-8-lop-12-p115126767.html?spid=115126768,computer science; coding; computer network,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text; exact_major_in_title,28.12,low,5.0,6.0,56.0,332640.0,30.0,100.0,42.81002327921689,44.47356394618005,90.0,82.84,43.89,42.16,Tiki: content match + confidence + rating + review_count + quantity_sold + search keywords,1,1,4
