student_token,email_order,email_line,recommendation_score,resource_url
stu_0082f6f3f256c8f5,1,[high_priority] Nghiên cứu các yếu tố ảnh hưởng đến sự hài lòng của người dân đối với dịch vụ hành chính c - Chính sách công,92.37,https://digital.lib.ueh.edu.vn/handle/UEH/61534
stu_0082f6f3f256c8f5,2,"[high_priority] Thị Trường, Nhà Nước Và Người Dân: Kinh Tế Học Về Chính Sách Công - Chính sách công",85.44,https://tiki.vn/thi-truong-nha-nuoc-va-nguoi-dan-kinh-te-hoc-ve-chinh-sach-cong-p168780451.html?spid=168780452
stu_0082f6f3f256c8f5,3,[recommended] Thực hiện tiết kiệm chi kinh phí quản lý hành chính tại Sở Tài chính tỉnh Bà Rịa - Vũng Tà - Quản lý hành chính công,79.7,https://digital.lib.ueh.edu.vn/handle/UEH/62794
stu_009d578c031e4974,1,[high_priority] Các nhân tố ảnh hưởng đến sự thỏa mãn của nhân viên kế toán trong việc sử dụng hệ thống ho - Hệ thống ERP,93.98,https://digital.lib.ueh.edu.vn/handle/UEH/63276
stu_009d578c031e4974,2,[high_priority] Tích Hợp Hệ Thống Tự Động Điều Khiển Quá Trình Công Nghệ Sinh Học Và Công Nghệ Thực Phẩm - Tích hợp hệ thống,81.75,https://tiki.vn/tich-hop-he-thong-tu-dong-dieu-khien-qua-trinh-cong-nghe-sinh-hoc-va-cong-nghe-thuc-pham-p276237667.html?spid=276237668
stu_009d578c031e4974,3,[optional] Hoàn thiện hệ thống quản lý chất lượng tích hợp tại Công ty Cổ phần Mỹ phẩm Sài Gòn (SCC) - Tích hợp hệ thống,57.88,https://digital.lib.ueh.edu.vn/handle/UEH/62975
stu_00a2a78a63f2c162,1,[high_priority] Phân tích kỹ thuật trong thị trường tài chính - Phân tích kỹ thuật,96.42,https://tiki.vn/phan-tich-ky-thuat-trong-thi-truong-tai-chinh-p77339644.html?spid=84882958
stu_00a2a78a63f2c162,2,[high_priority] Thị Trường Tài Chính - Thị trường tài chính,84.89,https://tiki.vn/sach-thi-truong-tai-chinh-p531592.html?spid=89424628
stu_00a2a78a63f2c162,3,[high_priority] Ảnh hưởng của các yếu tố tài chính hành vi suy nghiệm đến hiệu suất đầu tư của nh - Tài chính hành vi,84.74,https://digital.lib.ueh.edu.vn/handle/UEH/62544
stu_00b9e0b6b2593639,1,[high_priority] - Giáo trình cấu trúc dữ liệu và giải thuật - Cấu trúc dữ liệu và giải thuật,85.18,https://tiki.vn/sach-giao-trinh-cau-truc-du-lieu-va-giai-thuat-p269955449.html?spid=269955450
stu_00b9e0b6b2593639,2,[optional] The Experience Economy: Nền Kinh Tế Trải Nghiệm - Biến Dịch Vụ Của Bạn Thành Trải Nghiệm K - Trình biên dịch,44.76,https://tiki.vn/the-experience-economy-nen-kinh-te-trai-nghiem-bien-dich-vu-cua-ban-thanh-trai-nghiem-khach-hang-p182480871.html?spid=258929164
stu_00b9e0b6b2593639,3,"[optional] Đặc điểm quá tự tin, thù lao giám đốc điều hành và hiệu quả hoạt động của các doanh nghiệp - Hệ điều hành",42.49,https://digital.lib.ueh.edu.vn/handle/UEH/63620
stu_00f0b86637288e57,1,[high_priority] Các nhân tố ảnh hưởng đến sự thỏa mãn của nhân viên kế toán trong việc sử dụng hệ thống ho - Hệ thống ERP,93.98,https://digital.lib.ueh.edu.vn/handle/UEH/63276
stu_00f0b86637288e57,2,[high_priority] Tích Hợp Hệ Thống Tự Động Điều Khiển Quá Trình Công Nghệ Sinh Học Và Công Nghệ Thực Phẩm - Tích hợp hệ thống,81.75,https://tiki.vn/tich-hop-he-thong-tu-dong-dieu-khien-qua-trinh-cong-nghe-sinh-hoc-va-cong-nghe-thuc-pham-p276237667.html?spid=276237668
stu_00f0b86637288e57,3,[optional] Hoàn thiện hệ thống quản lý chất lượng tích hợp tại Công ty Cổ phần Mỹ phẩm Sài Gòn (SCC) - Tích hợp hệ thống,57.88,https://digital.lib.ueh.edu.vn/handle/UEH/62975
stu_012da647bfb8d133,1,[optional] Mật Mã Và An Toàn Thông Tin - Lý Thuyết Và Ứng Dụng - Mật mã học,54.62,https://tiki.vn/mat-ma-va-an-toan-thong-tin-ly-thuyet-va-ung-dung-p75618660.html?spid=75618661
stu_012da647bfb8d133,2,[optional] Quản trị rủi ro tín dụng theo Basel II tại Ngân hàng TMCP Phương Đông - Quản trị rủi ro CNTT,45.1,https://digital.lib.ueh.edu.vn/handle/UEH/63686
stu_012da647bfb8d133,3,[optional] Hoàn thiện hệ thống thông tin kế toán tại Công ty TNHH MTV Dịch vụ Công ích Quận 4 - An toàn hệ thống thông tin,45.02,https://digital.lib.ueh.edu.vn/handle/UEH/63105
stu_0155d6746bdbe341,1,[high_priority] Các nhân tố ảnh hưởng đến sự thỏa mãn của nhân viên kế toán trong việc sử dụng hệ thống ho - Hệ thống ERP,93.98,https://digital.lib.ueh.edu.vn/handle/UEH/63276
stu_0155d6746bdbe341,2,[high_priority] Tích Hợp Hệ Thống Tự Động Điều Khiển Quá Trình Công Nghệ Sinh Học Và Công Nghệ Thực Phẩm - Tích hợp hệ thống,81.75,https://tiki.vn/tich-hop-he-thong-tu-dong-dieu-khien-qua-trinh-cong-nghe-sinh-hoc-va-cong-nghe-thuc-pham-p276237667.html?spid=276237668
stu_0155d6746bdbe341,3,[optional] Hoàn thiện hệ thống quản lý chất lượng tích hợp tại Công ty Cổ phần Mỹ phẩm Sài Gòn (SCC) - Tích hợp hệ thống,57.88,https://digital.lib.ueh.edu.vn/handle/UEH/62975
stu_0162381fab53ca26,1,[high_priority] Deep Learning - Cuộc Cách Mạng Học Sâu - Học sâu,95.89,https://tiki.vn/sach-deep-learning-cuoc-cach-mang-hoc-sau-p23088719.html?spid=23088720
stu_0162381fab53ca26,2,[high_priority] Storytelling With Data - Kể Chuyện Thông Qua Dữ Liệu (Cuốn Cẩm Nang Hướng Dẫn Trực Quan Hó - Trực quan hóa dữ liệu,89.93,https://tiki.vn/sach-storytelling-with-data-ke-chuyen-thong-qua-du-lieu-cuon-cam-nang-huong-dan-truc-quan-hoa-du-lieu-p76013378.html?spid=76013379
stu_0162381fab53ca26,3,[high_priority] Thống Kê Ứng Dụng Trong Kinh Doanh (Kèm File CD Mềm) (KT) - Thống kê ứng dụng,85.9,https://tiki.vn/thong-ke-ung-dung-trong-kinh-doanh-kem-file-cd-mem-_kt-p271520993.html?spid=271520994
stu_01ad5644971613f3,1,[optional] Mật Mã Và An Toàn Thông Tin - Lý Thuyết Và Ứng Dụng - Mật mã học,54.62,https://tiki.vn/mat-ma-va-an-toan-thong-tin-ly-thuyet-va-ung-dung-p75618660.html?spid=75618661
stu_01ad5644971613f3,2,[optional] Quản trị rủi ro tín dụng theo Basel II tại Ngân hàng TMCP Phương Đông - Quản trị rủi ro CNTT,45.1,https://digital.lib.ueh.edu.vn/handle/UEH/63686
stu_01ad5644971613f3,3,[optional] Hoàn thiện hệ thống thông tin kế toán tại Công ty TNHH MTV Dịch vụ Công ích Quận 4 - An toàn hệ thống thông tin,45.02,https://digital.lib.ueh.edu.vn/handle/UEH/63105
stu_01ff2a11ef096965,1,[high_priority] Ứng dụng công nghệ Data Lake trong quản lý và khai phá dữ liệu của ngân hàng - Khai phá dữ liệu,95.5,https://digital.lib.ueh.edu.vn/handle/UEH/63925
stu_01ff2a11ef096965,2,[high_priority] Ứng dụng trí tuệ kinh doanh (Business Intelligence) trong việc hỗ trợ ra quyết định điều h - Business Intelligence,94.45,https://digital.lib.ueh.edu.vn/handle/UEH/63166
stu_01ff2a11ef096965,3,[high_priority] Storytelling With Data - Kể Chuyện Thông Qua Dữ Liệu (Cuốn Cẩm Nang Hướng Dẫn Trực Quan Hó - Trực quan hóa dữ liệu,88.95,https://tiki.vn/sach-storytelling-with-data-ke-chuyen-thong-qua-du-lieu-cuon-cam-nang-huong-dan-truc-quan-hoa-du-lieu-p76013378.html?spid=76013379
stu_020fdfaa5fa49d33,1,[high_priority] Giải pháp hoàn thiện hoạt động quản lý kho hàng tại công ty TNHH Olam Việt Nam - Quản lý kho hàng,95.5,https://digital.lib.ueh.edu.vn/handle/UEH/63482
stu_020fdfaa5fa49d33,2,[high_priority] Quản lý chuỗi cung ứng thực phẩm và logistics - Quản lý chuỗi cung ứng,84.09,https://tiki.vn/sach-quan-ly-chuoi-cung-ung-thuc-pham-va-logistics-p273744608.html?spid=273744609
stu_020fdfaa5fa49d33,3,[recommended] Mối quan hệ giữa các tác nhân trong logistics ngược và kết quả kinh tế: Nghiên cứu trường  - Logistics ngược,77.04,https://digital.lib.ueh.edu.vn/handle/UEH/62783
stu_0210c548016ada21,1,[high_priority] Nghiên cứu các nhân tố ảnh hưởng đến sự phục hồi chuỗi cung ứng nông sản trong và sau đại  - Chuỗi cung ứng nông sản,95.5,https://digital.lib.ueh.edu.vn/handle/UEH/63977
stu_0210c548016ada21,2,[optional] Nguyên Lý Quản Trị Chuỗi Cung Ứng - Chuỗi cung ứng nông sản,59.52,https://tiki.vn/sach-nguyen-ly-quan-tri-chuoi-cung-ung-p1208799.html?spid=1208801
stu_0210c548016ada21,3,[optional] Đánh giá các yếu tố ảnh hưởng đến hiệu quả hoạt động của hợp tác xã nông nghiệp trên địa b - Kinh tế nông nghiệp,44.73,https://digital.lib.ueh.edu.vn/handle/UEH/62812
stu_0228ea389f375d71,1,[high_priority] - Giáo trình cấu trúc dữ liệu và giải thuật - Cấu trúc dữ liệu và giải thuật,85.18,https://tiki.vn/sach-giao-trinh-cau-truc-du-lieu-va-giai-thuat-p269955449.html?spid=269955450
stu_0228ea389f375d71,2,[optional] The Experience Economy: Nền Kinh Tế Trải Nghiệm - Biến Dịch Vụ Của Bạn Thành Trải Nghiệm K - Trình biên dịch,44.76,https://tiki.vn/the-experience-economy-nen-kinh-te-trai-nghiem-bien-dich-vu-cua-ban-thanh-trai-nghiem-khach-hang-p182480871.html?spid=258929164
stu_0228ea389f375d71,3,"[optional] Đặc điểm quá tự tin, thù lao giám đốc điều hành và hiệu quả hoạt động của các doanh nghiệp - Hệ điều hành",42.49,https://digital.lib.ueh.edu.vn/handle/UEH/63620
stu_025567b2c7534f7b,1,[high_priority] Nghiên cứu các nhân tố ảnh hưởng đến sự phục hồi chuỗi cung ứng nông sản trong và sau đại  - Chuỗi cung ứng nông sản,95.5,https://digital.lib.ueh.edu.vn/handle/UEH/63977
stu_025567b2c7534f7b,2,[optional] Nguyên Lý Quản Trị Chuỗi Cung Ứng - Chuỗi cung ứng nông sản,59.52,https://tiki.vn/sach-nguyen-ly-quan-tri-chuoi-cung-ung-p1208799.html?spid=1208801
stu_025567b2c7534f7b,3,[optional] Đánh giá các yếu tố ảnh hưởng đến hiệu quả hoạt động của hợp tác xã nông nghiệp trên địa b - Kinh tế nông nghiệp,44.73,https://digital.lib.ueh.edu.vn/handle/UEH/62812
stu_027a60d511f604c1,1,[high_priority] Giải pháp hoàn thiện marketing dịch vụ ngân hàng bán lẻ tại Ngân hàng Thương Mại Cổ Phần C - Marketing dịch vụ,95.5,https://digital.lib.ueh.edu.vn/handle/UEH/63123
stu_027a60d511f604c1,2,[high_priority] Giáo Trình Marketing Dịch Vụ Tài Chính Ngân Hàng - TS. Phạm Thu Thuỷ - Học Viện Ngân Hàng - Marketing dịch vụ,85.0,https://tiki.vn/sach-giao-trinh-marketing-dich-vu-tai-chinh-ngan-hang-ts-pham-thu-thuy-hoc-vien-ngan-hang-p279406046.html?spid=279406047
stu_027a60d511f604c1,3,[high_priority] Quản Trị Marketing - Quản trị Marketing,82.83,https://tiki.vn/quan-tri-marketing-p68554548.html?spid=160793031
stu_027bcbfe5de83f4f,1,[high_priority] Quản trị chiến lược ( Strategic Management) - Quản trị chiến lược,85.54,https://tiki.vn/quan-tri-chien-luoc-strategic-management-p185044605.html?spid=185044606
stu_027bcbfe5de83f4f,2,[high_priority] Các nhân tố ảnh hưởng đến việc áp dụng kế toán quản trị chiến lược và sự tác động đến thàn - Quản trị chiến lược,85.1,https://digital.lib.ueh.edu.vn/handle/UEH/62665
stu_027bcbfe5de83f4f,3,[recommended] Quản Trị Vận Hành Và Chuỗi Cung Ứng (Ấn Bản Lần Thứ 16) - Quản trị vận hành,78.32,https://tiki.vn/quan-tri-van-hanh-va-chuoi-cung-ung-an-ban-lan-thu-16-p273429543.html?spid=273429544
stu_028b11ad8cbc6bdf,1,[recommended] Xây dựng thị trường chứng khoán phi tập trung dựa trên công nghệ Blockchain - Công nghệ Blockchain,76.43,https://digital.lib.ueh.edu.vn/handle/UEH/62541
stu_028b11ad8cbc6bdf,2,"[recommended] Bùng Nổ Bitcoin - Công Nghệ Blockchain, Fintech 4.0 hay Bong Bóng? - Công nghệ Blockchain",68.83,https://tiki.vn/bung-no-bitcoin-cong-nghe-blockchain-fintech-4-0-hay-bong-bong-p5563321.html?spid=20485533
stu_028b11ad8cbc6bdf,3,[optional] Quản lý rủi ro tác nghiệp đối với hoạt động tín dụng tại Ngân hàng TMCP Công thương Việt N - Quản lý rủi ro số,58.1,https://digital.lib.ueh.edu.vn/handle/UEH/61159
stu_029f263039081be7,1,[high_priority] Tóm Tắt - Bài Tập - Trắc Nghiệm Kinh Tế Vĩ Mô - Kinh tế vi mô,93.27,https://tiki.vn/tom-tat-bai-tap-trac-nghiem-kinh-te-vi-mo-p1197799.html?spid=74570330
stu_029f263039081be7,2,"[high_priority] Đặc điểm công ty, các biến số kinh tế vĩ mô và giá chứng khoán: bằng chứng thực nghiệm tại - Kinh tế vi mô",86.33,https://digital.lib.ueh.edu.vn/handle/UEH/61183
stu_029f263039081be7,3,[high_priority] Kinh Tế Phát Triển Căn Bản Và Nâng Cao - Kinh tế phát triển,82.24,https://tiki.vn/sach-kinh-te-phat-trien-can-ban-va-nang-cao-p716491.html?spid=162712941
stu_02aa803284772bd9,1,[high_priority] - Quản Lý Dự Án Xây Dựng - Lập Và Thẩm Định Dự Án - TS. Bùi Ngọc Toàn - NXB Xây Dựng - Thẩm định dự án,84.13,https://tiki.vn/sach-quan-ly-du-an-xay-dung-lap-va-tham-dinh-du-an-ts-bui-ngoc-toan-nxb-xay-dung-p277392524.html?spid=279333156
stu_02aa803284772bd9,2,[recommended] THE LITTLE BOOK - Quản trị rủi ro trong đầu tư chứng khoán - Rủi ro trong đầu tư,71.18,https://tiki.vn/the-little-book-quan-tri-rui-ro-trong-dau-tu-chung-khoan-p202217457.html?spid=202217458
stu_02aa803284772bd9,3,[optional] Chiến Lược Đầu Tư Chứng Khoán (Tái Bản 2018) [Sách Tài Chính & Đầu Tư / Tặng Kèm Postcard  - Chính sách đầu tư,52.63,https://tiki.vn/chien-luoc-dau-tu-chung-khoan-tai-ban-2018-sach-tai-chinh-dau-tu-tang-kem-postcard-greenlife-p36827338.html?spid=36827339
stu_02bd6ce789bd0042,1,[high_priority] Nghiên cứu các yếu tố ảnh hưởng đến sự hài lòng của người dân đối với dịch vụ hành chính c - Chính sách công,92.37,https://digital.lib.ueh.edu.vn/handle/UEH/61534
stu_02bd6ce789bd0042,2,"[high_priority] Thị Trường, Nhà Nước Và Người Dân: Kinh Tế Học Về Chính Sách Công - Chính sách công",85.44,https://tiki.vn/thi-truong-nha-nuoc-va-nguoi-dan-kinh-te-hoc-ve-chinh-sach-cong-p168780451.html?spid=168780452
stu_02bd6ce789bd0042,3,[recommended] Thực hiện tiết kiệm chi kinh phí quản lý hành chính tại Sở Tài chính tỉnh Bà Rịa - Vũng Tà - Quản lý hành chính công,79.7,https://digital.lib.ueh.edu.vn/handle/UEH/62794
stu_02c562f45b1d6585,1,[high_priority] Hoàn thiện công tác kiểm toán nội bộ trong các Ngân hàng Thương mại Việt Nam - Kiểm toán nội bộ,84.04,https://digital.lib.ueh.edu.vn/handle/UEH/61472
stu_02c562f45b1d6585,2,[high_priority] Kế Toán Tài Chính Doanh Nghiệp Thương Mại Dịch Vụ - Kế toán tài chính,81.35,https://tiki.vn/ke-toan-tai-chinh-doanh-nghiep-thuong-mai-dich-vu-p56602776.html?spid=56602777
stu_02c562f45b1d6585,3,[high_priority] Ứng dụng Phân tích báo cáo tài chính và định giá doanh nghiệp trong thực tiễn - Phân tích báo cáo tài chính,80.41,https://tiki.vn/ung-dung-phan-tich-bao-cao-tai-chinh-va-dinh-gia-doanh-nghiep-trong-thuc-tien-p274409757.html?spid=274409758
stu_02de5376ad86d3da,1,[high_priority] Hoàn thiện công tác kiểm toán nội bộ trong các Ngân hàng Thương mại Việt Nam - Kiểm toán nội bộ,87.0,https://digital.lib.ueh.edu.vn/handle/UEH/61472
stu_02de5376ad86d3da,2,[high_priority] Áp dụng mô hình tam giác gian lận trong vấn đề đạo đức nghề nghiệp của kiểm toán viên Nhà  - Đạo đức nghề nghiệp kiểm toán,81.45,https://digital.lib.ueh.edu.vn/handle/UEH/61149
stu_02de5376ad86d3da,3,"[recommended] Nghiệp Vụ Dành Cho Kế Toán Kiểm Toán Nội Bộ Chuẩn Mực, Nguyên Tắc Đạo Đức Nghề Nghiệp Và Q - Kiểm toán nội bộ",79.87,https://tiki.vn/sach-nghiep-vu-danh-cho-ke-toan-kiem-toan-noi-bo-chuan-muc-nguyen-tac-dao-duc-nghe-nghiep-va-quy-che-kiem-toan-noi-bo-trong-cac-co-quan-nha-nuoc-don-vi-su-nghiep-cong-lap-va-doanh-nghiep-p94851869.html?spid=94851870
stu_02e5721d62372eff,1,[high_priority] Thực trạng thực thi pháp luật về quy hoạch đô thị trên địa bàn tỉnh Cà Mau - Quy hoạch đô thị,95.5,https://digital.lib.ueh.edu.vn/handle/UEH/61148
stu_02e5721d62372eff,2,[high_priority] - Quản Lý Dự Án Xây Dựng - Lập Và Thẩm Định Dự Án - TS. Bùi Ngọc Toàn - NXB Xây Dựng - Quản lý dự án xây dựng,84.22,https://tiki.vn/sach-quan-ly-du-an-xay-dung-lap-va-tham-dinh-du-an-ts-bui-ngoc-toan-nxb-xay-dung-p277392524.html?spid=279333156
stu_02e5721d62372eff,3,[optional] Nâng cao quản trị rủi ro các dự án đầu tư tại Ban quản lý dự án hạ tầng II – Tổng công ty  - Quản lý dự án xây dựng,48.62,https://digital.lib.ueh.edu.vn/handle/UEH/62960
stu_02f66bddf02e4b1e,1,[high_priority] Tóm Tắt - Bài Tập - Trắc Nghiệm Kinh Tế Vĩ Mô - Kinh tế vi mô,93.27,https://tiki.vn/tom-tat-bai-tap-trac-nghiem-kinh-te-vi-mo-p1197799.html?spid=74570330
stu_02f66bddf02e4b1e,2,"[high_priority] Đặc điểm công ty, các biến số kinh tế vĩ mô và giá chứng khoán: bằng chứng thực nghiệm tại - Kinh tế vĩ mô",86.33,https://digital.lib.ueh.edu.vn/handle/UEH/61183
stu_02f66bddf02e4b1e,3,[high_priority] Kinh Tế Phát Triển Căn Bản Và Nâng Cao - Kinh tế phát triển,82.24,https://tiki.vn/sach-kinh-te-phat-trien-can-ban-va-nang-cao-p716491.html?spid=162712941
stu_030af84750294ef7,1,[high_priority] Các nhân tố ảnh hưởng đến sự thỏa mãn của nhân viên kế toán trong việc sử dụng hệ thống ho - Hệ thống ERP,93.98,https://digital.lib.ueh.edu.vn/handle/UEH/63276
stu_030af84750294ef7,2,[high_priority] Tích Hợp Hệ Thống Tự Động Điều Khiển Quá Trình Công Nghệ Sinh Học Và Công Nghệ Thực Phẩm - Tích hợp hệ thống,81.75,https://tiki.vn/tich-hop-he-thong-tu-dong-dieu-khien-qua-trinh-cong-nghe-sinh-hoc-va-cong-nghe-thuc-pham-p276237667.html?spid=276237668
stu_030af84750294ef7,3,[optional] Hoàn thiện hệ thống quản lý chất lượng tích hợp tại Công ty Cổ phần Mỹ phẩm Sài Gòn (SCC) - Tích hợp hệ thống,57.88,https://digital.lib.ueh.edu.vn/handle/UEH/62975
stu_031b4075586cc07c,1,"[optional] UX RESEARCH-Thấu Hiểu Người Dùng, Ung Dung Chiến Thắng - Thiết kế UX/UI",55.12,https://tiki.vn/sach-ux-research-thau-hieu-nguoi-dung-ung-dung-chien-thang-p198215131.html?spid=198215132
stu_031b4075586cc07c,2,[optional] Combo Marketing Căn Bản và Tiếp thị 4.0 - Dịch Chuyển Từ Truyền Thống Sang Công Nghệ Số (  - Công nghệ truyền thông sáng tạo,53.52,https://tiki.vn/combo-marketing-can-ban-va-tiep-thi-4-0-dich-chuyen-tu-truyen-thong-sang-cong-nghe-so-tang-kem-so-tay-p11860704.html?spid=11860705
stu_031b4075586cc07c,3,"[optional] - Nhận Diện Nghệ Thuật Đồ Họa - Để nghiên cứu , sáng tác và giảng dạy Thiết Kế Đồ Họa ( Tặ - Thiết kế đồ họa số",53.26,https://tiki.vn/sach-nhan-dien-nghe-thuat-do-hoa-de-nghien-cuu-sang-tac-va-giang-day-thiet-ke-do-hoa-tang-kem-so-tay-xuong-rong-p274890405.html?spid=274890406
stu_036c57ba185f3cdc,1,[high_priority] Giải pháp hoàn thiện hoạt động quản lý kho hàng tại công ty TNHH Olam Việt Nam - Quản lý kho hàng,95.5,https://digital.lib.ueh.edu.vn/handle/UEH/63482
stu_036c57ba185f3cdc,2,[high_priority] Quản lý chuỗi cung ứng thực phẩm và logistics - Quản lý chuỗi cung ứng,84.09,https://tiki.vn/sach-quan-ly-chuoi-cung-ung-thuc-pham-va-logistics-p273744608.html?spid=273744609
stu_036c57ba185f3cdc,3,[recommended] Mối quan hệ giữa các tác nhân trong logistics ngược và kết quả kinh tế: Nghiên cứu trường  - Logistics ngược,77.04,https://digital.lib.ueh.edu.vn/handle/UEH/62783
stu_0371c59c46b7c396,1,[high_priority] Ứng dụng công nghệ trí tuệ nhân tạo trong dịch vụ tài chính tại thị trường tài chính Việt  - Trí tuệ nhân tạo,84.32,https://digital.lib.ueh.edu.vn/handle/UEH/62540
stu_0371c59c46b7c396,2,[high_priority] Công Nghệ Thông Tin- Giáo Trình C++ Và Lập Trình Hướng Đối Tượng - Lập trình hướng đối tượng,82.01,https://tiki.vn/sach-cong-nghe-thong-tin-giao-trinh-c-va-lap-trinh-huong-doi-tuong-p273585809.html?spid=277460817
stu_0371c59c46b7c396,3,[high_priority] Hiểu Về Trí Tuệ Nhân Tạo - AI - Trí tuệ nhân tạo,81.85,https://tiki.vn/sach-hieu-ve-tri-tue-nhan-tao-ai-p279233260.html?spid=279233261
stu_03b078427c0c9235,1,[high_priority] Bảo vệ sức khỏe và phát triển thương mại quốc tế qua các tranh luận pháp lý về tính cần th - Thương mại quốc tế,86.42,https://digital.lib.ueh.edu.vn/handle/UEH/63972
stu_03b078427c0c9235,2,[high_priority] Soạn Thảo Và Dịch Hợp Đồng Thương Mại Quốc Tế (Tái Bản) - Thương mại quốc tế,84.43,https://tiki.vn/sach-soan-thao-va-dich-hop-dong-thuong-mai-quoc-te-tai-ban-p447075.html?spid=153807
stu_03b078427c0c9235,3,[optional] Quản lý chuỗi cung ứng thực phẩm và logistics - Quản lý chuỗi cung ứng toàn cầu,54.47,https://tiki.vn/sach-quan-ly-chuoi-cung-ung-thuc-pham-va-logistics-p273744608.html?spid=273744609
stu_03d337a552253baf,1,[high_priority] Định vị hệ thống ngân hàng Việt Nam trong kỷ nguyên chuyển đổi số - Hệ thống nhúng,91.97,https://digital.lib.ueh.edu.vn/handle/UEH/62539
stu_03d337a552253baf,2,[high_priority] Giáo trình Thị giác máy tính - Thị giác máy tính,85.0,https://tiki.vn/giao-trinh-thi-giac-may-tinh-p279380903.html?spid=279380904
stu_03d337a552253baf,3,[high_priority] Ứng dụng công nghệ trí tuệ nhân tạo trong dịch vụ tài chính tại thị trường tài chính Việt  - Trí tuệ nhân tạo,84.7,https://digital.lib.ueh.edu.vn/handle/UEH/62540
