resource_type,resource_title,recommended_times,students,avg_recommendation_score,avg_match_score,avg_quality_score,avg_popularity_score
tiki_book,Nguyên Lý Quản Trị Chuỗi Cung Ứng,113,113,73.67,58.2,97.2,90.76
ueh_repository,Áp dụng mô hình tam giác gian lận trong vấn đề đạo đức nghề nghiệp của kiểm toán viên Nhà nước,113,113,67.75,62.45,80.0,50.0
tiki_book,"Giáo trình Tín dụng và thanh toán thương mại quốc tế (Tái bản lần thứ tư, có sửa chữa bổ sung)",113,113,65.61,63.72,74.57,30.76
tiki_book,Phân tích kinh tế - kỹ thuật các dự án đầu tư xây dựng,113,113,53.21,44.83,77.82,39.12
ueh_repository,Quản trị rủi ro tín dụng theo Basel II tại Ngân hàng TMCP Phương Đông,112,112,59.66,49.65,80.0,50.0
tiki_book,Combo Sách : Learn Branding - Xây Dựng Thương Hiệu Tinh Gọn + Quản Trị Thương Hiệu Trực Tuyến,101,101,73.53,74.5,50.0,50.0
ueh_repository,Nghiên cứu hành vi mua sắm trực tuyến của người tiêu dùng tại TP. Hồ Chí Minh ngành hàng thời trang,100,100,59.25,56.26,80.0,50.0
tiki_book,Storytelling With Data - Kể Chuyện Thông Qua Dữ Liệu (Cuốn Cẩm Nang Hướng Dẫn Trực Quan Hóa Dữ Liệu),98,98,89.43,76.51,100.0,100.0
ueh_repository,Hoàn thiện công tác kiểm toán nội bộ trong các Ngân hàng Thương mại Việt Nam,97,97,85.69,83.64,80.0,50.0
ueh_repository,Nghiên cứu các nhân tố ảnh hưởng đến sự phục hồi chuỗi cung ứng nông sản trong và sau đại dịch Covid- 19 tại các tỉnh Đồng bằng sông Cửu Long,68,68,95.5,100.0,80.0,50.0
tiki_book,Toán tài chính ứng dụng,68,68,86.85,93.38,85.2,47.0
ueh_repository,Ảnh hưởng của các yếu tố tài chính hành vi suy nghiệm đến hiệu suất đầu tư của nhà đầu tư cá nhân trên thị trường chứng khoán Việt Nam,68,68,84.74,82.06,80.0,50.0
tiki_book,Xác Suất Thống Kê (Dùng cho sinh viên các trường Kỹ Thuật và Công Nghệ),68,68,82.5,94.0,77.25,34.08
tiki_book,- Kỹ Thuật Phân Tích Đầu Tư Chứng Khoán (Tái Bản 2026),68,68,80.82,90.7,50.0,50.0
tiki_book,HBR Onpoint 2021: Quản Lý Rủi Ro (Tái Bản 2022),68,68,52.17,39.01,80.04,47.39
ueh_repository,Quản lý rủi ro tỷ giá trong hoạt kinh doanh ngoại hối tại Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam,68,68,51.65,43.59,80.0,50.0
ueh_repository,Phân tích các nhân tố tác động đến hiệu quả chuỗi cung ứng – Nghiên cứu mô hình tại Công ty Cổ phần Acecook Việt Nam,68,68,45.77,33.79,80.0,50.0
ueh_repository,"Đánh giá các yếu tố ảnh hưởng đến hiệu quả hoạt động của hợp tác xã nông nghiệp trên địa bàn huyện Phú Tân, tỉnh An Giang",68,68,44.73,32.05,80.0,50.0
ueh_repository,"Mối quan hệ giữa hỗ trợ xuất khẩu của chính phủ, nhận thức động cơ xuất khẩu, nhận thức rào cản xuất khẩu và kết quả hoạt động xuất khẩu nông sản của các doanh nghiệp nhỏ và vừa tại Việt Nam sang thị trường Asean+3",68,68,43.91,30.69,80.0,50.0
ueh_repository,Hạn chế rủi ro tín dụng cho vay tiêu dùng tại Ngân hàng Nông nghiệp và phát triển Nông thôn Việt Nam – chi nhánh Thành phố Sóc Trăng,68,68,43.14,29.4,80.0,50.0
tiki_book,- Giáo Trình Đàm Phán Quốc Tế (Tái Bản lần Thứ Nhất),67,67,81.8,92.88,50.0,50.0
tiki_book,Tài Chính Quốc Tế,67,67,76.14,84.53,50.0,37.32
ueh_repository,Giải pháp hoàn thiện hoạt động quản lý kho hàng tại công ty TNHH Olam Việt Nam,66,66,95.5,100.0,80.0,50.0
ueh_repository,"Nghiên cứu các yếu tố ảnh hưởng đến sự hài lòng của người dân đối với dịch vụ hành chính công tại Uỷ ban nhân dân phường Tân Quy, Quận 7, Thành phố Hồ Chí Minh",66,66,92.37,94.79,80.0,50.0
tiki_book,"Thị Trường, Nhà Nước Và Người Dân: Kinh Tế Học Về Chính Sách Công",66,66,85.44,100.0,74.57,28.35
ueh_repository,Thực hiện tiết kiệm chi kinh phí quản lý hành chính tại Sở Tài chính tỉnh Bà Rịa - Vũng Tàu,66,66,79.7,73.66,80.0,50.0
ueh_repository,Mối quan hệ giữa các tác nhân trong logistics ngược và kết quả kinh tế: Nghiên cứu trường hợp doanh nghiệp bán lẻ hàng điện tử tại Thành phố Đà Nẵng,66,66,77.04,69.23,80.0,50.0
tiki_book,CFO Quản Trị Tài Chính Công Ty Cổ Phần,66,66,74.97,72.92,77.25,37.11
ueh_repository,Giải pháp nâng cao chất lượng đào tạo tại Trường Đại học Giao thông Vận tải Phân hiệu tại Thành phố Hồ Chí Minh,66,66,55.09,49.32,80.0,50.0
ueh_repository,Các nhân tố ảnh hưởng đến tính minh bạch của thông tin trên báo cáo tài chính của các công ty niêm yết có vốn đầu tư nước ngoài trên Sàn Giao dịch Chứng khoán TP. HCM,66,66,52.14,44.4,80.0,50.0
ueh_repository,Định vị hệ thống ngân hàng Việt Nam trong kỷ nguyên chuyển đổi số,63,63,91.97,94.12,80.0,50.0
tiki_book,Giáo trình Thị giác máy tính,63,63,85.0,100.0,50.0,50.0
tiki_book,Soạn Thảo Và Dịch Hợp Đồng Thương Mại Quốc Tế (Tái Bản),63,63,84.43,75.9,93.15,75.35
tiki_book,THE LITTLE BOOK - Quản trị rủi ro trong đầu tư chứng khoán,63,63,71.18,73.37,50.0,37.76
tiki_book,Mật Mã Và An Toàn Thông Tin - Lý Thuyết Và Ứng Dụng,63,63,54.62,37.69,87.87,53.18
tiki_book,Chiến Lược Đầu Tư Chứng Khoán (Tái Bản 2018) [Sách Tài Chính & Đầu Tư / Tặng Kèm Postcard Greenlife],63,63,52.63,44.24,80.62,34.16
