major,major_norm,course,course_norm,rank,resource_type,resource_id,resource_title,score,confidence,match_reason,url,price,rating_average,review_count,quantity_sold,source_keys,year,collection,views,authors,popularity_score
An toàn thông tin,an toan thong tin,Bảo mật mạng máy tính,bao mat mang may tinh,2,ueh_repository,UEH/61222,Tác động của các phong cách lãnh đạo đến ý thức gắn kết với tổ chức của đội ngũ cán bộ tại Nhà máy Xi măng FiCO,4.85,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/61222,,,,,,2020,MASTER'S THESES,0,Nguyễn Việt Hoàng,
An toàn thông tin,an toan thong tin,Bảo mật mạng máy tính,bao mat mang may tinh,3,ueh_repository,UEH/62674,"Nghiên cứu các nhân tố ảnh hưởng đến sự hài lòng của khách hàng khi sử dụng dịch vụ bảo trì, bảo dưỡng xe máy tại các đại lý Yamaha khu vực Thành phố Hồ Chí Minh",4.46,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/62674,,,,,,2021,MASTER'S THESES,0,Phạm Thị Phương Quỳnh,
An toàn thông tin,an toan thong tin,Kiểm thử xâm nhập,kiem thu xam nhap,1,tiki_book,278496130,Thanh Gươm Diệt Quỷ - 9- Đại Chiến Dịch Xâm Nhập Phố Đèn Đỏ,12.21,low,partial_course_tokens_in_title,https://tiki.vn/thanh-guom-diet-quy-tap-1-tan-khoc-p278496130.html?spid=278496147,23750,5.0,521,157,top_books,,,,,19.4491
An toàn thông tin,an toan thong tin,Kiểm thử xâm nhập,kiem thu xam nhap,2,tiki_book,276735690,"- Kiểm Soát Tài Sản, Thu Nhập Của Đảng Viên Là Người Có Chức Vụ, Quyền Hạn Trong Bối Cảnh Mới ở Việt Nam - NXB Chính Trị Quốc Gia",8.45,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://tiki.vn/sach-kiem-soat-tai-san-thu-nhap-cua-dang-vien-la-nguoi-co-chuc-vu-quyen-han-trong-boi-canh-moi-o-viet-nam-nxb-chinh-tri-quoc-gia-p276735690.html?spid=276735692,223000,0.0,0,,kiểm soát nội bộ,,,,,0.0
An toàn thông tin,an toan thong tin,Kiểm thử xâm nhập,kiem thu xam nhap,3,tiki_book,279260283,"Đổi mới, kiến tạo, hội nhập, phát triển (Xuất bản lần thứ hai)",6.23,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://tiki.vn/doi-moi-kien-tao-hoi-nhap-phat-trien-xuat-ban-lan-thu-hai-p279260283.html?spid=279260284,466000,0.0,0,,xuất nhập khẩu,,,,,0.0
An toàn thông tin,an toan thong tin,Kiểm thử xâm nhập,kiem thu xam nhap,1,ueh_repository,UEH/63133,"Đánh giá ảnh hưởng của xâm nhập mặn đến thu nhập của nông dân ở huyện Cần Đước, tỉnh Long An",14.04,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/63133,,,,,,2021,MASTER'S THESES,0,Phạm Nguyễn Chí Huy,
An toàn thông tin,an toan thong tin,Kiểm thử xâm nhập,kiem thu xam nhap,2,ueh_repository,UEH/62920,Hoàn thiện kiểm soát nội bộ trong công tác thu thuế thu nhập cá nhân tại Chi cục Thuế thành phố Tuy Hòa,6.3,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/62920,,,,,,2021,MASTER'S THESES,0,Nguyễn Thị Trúc Hà,
An toàn thông tin,an toan thong tin,Kiểm thử xâm nhập,kiem thu xam nhap,3,ueh_repository,UEH/62908,"Phân tích các nhân tố tác động đến thu nhập nông nghiệp ở An Giang: tham gia chuỗi liên kết, loại hình và diện tích canh tác",4.61,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/62908,,,,,,2021,MASTER'S THESES,0,Phan Tùng Lâm,
An toàn thông tin,an toan thong tin,Mật mã học,mat ma hoc,1,tiki_book,75618660,Mật Mã Và An Toàn Thông Tin - Lý Thuyết Và Ứng Dụng,37.69,medium,partial_course_tokens_in_title; exact_major_in_title,https://tiki.vn/mat-ma-va-an-toan-thong-tin-ly-thuyet-va-ung-dung-p75618660.html?spid=75618661,129000,5.0,14,91,công nghệ thông tin,,,,,13.5839
An toàn thông tin,an toan thong tin,Mật mã học,mat ma hoc,2,tiki_book,278944163,Mật mã và An toàn thông tin - Lý thuyết và Ứng dụng,37.69,medium,partial_course_tokens_in_title; exact_major_in_title,https://tiki.vn/mat-ma-va-an-toan-thong-tin-ly-thuyet-va-ung-dung-p278944163.html?spid=278944165,129000,0.0,0,,sách công nghệ thông tin,,,,,0.0
An toàn thông tin,an toan thong tin,Mật mã học,mat ma hoc,3,tiki_book,175445482,Sổ Tay Khoa Học Máy Tính Và Mật Mã - Everything you need to ace computer science and coding,37.68,medium,partial_course_tokens_in_title,https://tiki.vn/sach-so-tay-khoa-hoc-may-tinh-va-mat-ma-p175445482.html?spid=175445485,371250,0.0,0,9,coding; computer network,,,,,2.3026
An toàn thông tin,an toan thong tin,Mật mã học,mat ma hoc,1,ueh_repository,UEH/61233,"Đánh giá tác động của sự hiện diện xã hội, sự hiện diện giảng dạy và sự hiện diện nhận thức đến sự hài lòng của học viên trong học tập trực tuyến tại Thành phố Hồ Chí Minh",9.32,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/61233,,,,,,2020,MASTER'S THESES,0,Cao Việt Mỹ,
An toàn thông tin,an toan thong tin,Mật mã học,mat ma hoc,2,ueh_repository,UEH/63355,Các nhân tố ảnh hưởng đến quyết định chọn ngành kế toán của sinh viên tại các trường Đại học ở Thành phố Hồ Chí Minh,9.27,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/63355,,,,,,2021,MASTER'S THESES,0,Nguyễn Huỳnh Như,
An toàn thông tin,an toan thong tin,Mật mã học,mat ma hoc,3,ueh_repository,UEH/61168,Hoàn thiện tổ chức công tác kế toán tại Trường Đại học Y khoa Phạm Ngọc Thạch,9.27,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/61168,,,,,,2020,MASTER'S THESES,0,Nguyễn Thị Chúc Linh,
An toàn thông tin,an toan thong tin,Pháp lý an toàn thông tin,phap ly an toan thong tin,1,tiki_book,75618660,Mật Mã Và An Toàn Thông Tin - Lý Thuyết Và Ứng Dụng,20.69,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text; exact_major_in_title,https://tiki.vn/mat-ma-va-an-toan-thong-tin-ly-thuyet-va-ung-dung-p75618660.html?spid=75618661,129000,5.0,14,91,công nghệ thông tin,,,,,13.5839
An toàn thông tin,an toan thong tin,Pháp lý an toàn thông tin,phap ly an toan thong tin,2,tiki_book,278944163,Mật mã và An toàn thông tin - Lý thuyết và Ứng dụng,20.69,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text; exact_major_in_title,https://tiki.vn/mat-ma-va-an-toan-thong-tin-ly-thuyet-va-ung-dung-p278944163.html?spid=278944165,129000,0.0,0,,sách công nghệ thông tin,,,,,0.0
An toàn thông tin,an toan thong tin,Pháp lý an toàn thông tin,phap ly an toan thong tin,3,tiki_book,35166670,Giáo trình Cơ sở an toàn thông tin,19.32,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text; exact_major_in_title,https://tiki.vn/giao-trinh-co-so-an-toan-thong-tin-p35166670.html?spid=44989350,125000,5.0,14,109,công nghệ thông tin,,,,,13.7626
An toàn thông tin,an toan thong tin,Pháp lý an toàn thông tin,phap ly an toan thong tin,1,ueh_repository,UEH/63472,Hoàn thiện hệ thống thông tin kế toán nhằm đáp ứng yêu cầu quản lý tại Trường Cao đẳng Nghề Thành phố Hồ Chí Minh,7.4,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/63472,,,,,,2021,MASTER'S THESES,0,Bùi Ngọc Thanh Trang,
An toàn thông tin,an toan thong tin,Pháp lý an toàn thông tin,phap ly an toan thong tin,2,ueh_repository,UEH/61354,Các nhân tố ảnh hưởng đến chất lượng hệ thống thông tin kế toán của các đơn vị sự nghiệp y tế công lập tại thành phố Hồ Chí Minh,6.62,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/61354,,,,,,2020,MASTER'S THESES,0,Nguyễn Thị Hằng,
An toàn thông tin,an toan thong tin,Pháp lý an toàn thông tin,phap ly an toan thong tin,3,ueh_repository,UEH/63595,Một số vấn đề pháp lý liên quan đến hoạt động sáp nhập và mua lại (M&A) tại Việt Nam - So sánh với Singapore,6.61,low,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/63595,,,,,,2021,MASTER'S THESES,0,Đỗ Khắc Tất Hưng,
An toàn thông tin,an toan thong tin,Quản trị rủi ro CNTT,quan tri rui ro cntt,1,tiki_book,402995,Quản Trị Rủi Ro Xí Nghiệp Trong Nền Kinh Tế Toàn Cầu,40.14,medium,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://tiki.vn/sach-quan-tri-rui-ro-xi-nghiep-trong-nen-kinh-te-toan-cau-p402995.html?spid=89424688,205000,2.0,4,18,quản trị rủi ro ngân hàng,,,,,7.3586
An toàn thông tin,an toan thong tin,Quản trị rủi ro CNTT,quan tri rui ro cntt,2,tiki_book,198591267,"Báo cáo tài chính - Lập, phân tích và quản trị rủi ro về thuế",40.09,medium,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://tiki.vn/bao-cao-tai-chinh-lap-phan-tich-va-quan-tri-rui-ro-ve-thue-p198591267.html?spid=279341812,242100,0.0,0,,quản trị tài chính; phân tích tài chính; báo cáo tài chính; quản trị rủi ro ngân hàng; kiểm toán báo cáo tài chính,,,,,0.0
An toàn thông tin,an toan thong tin,Quản trị rủi ro CNTT,quan tri rui ro cntt,3,tiki_book,47242845,Quản Trị Rủi Ro Pháp Lý Trong Kinh Doanh,40.03,medium,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://tiki.vn/quan-tri-rui-ro-phap-ly-trong-kinh-doanh-p47242845.html?spid=47242846,98000,4.5,54,600,quản trị kinh doanh; quản trị rủi ro ngân hàng,,,,,16.9096
An toàn thông tin,an toan thong tin,Quản trị rủi ro CNTT,quan tri rui ro cntt,1,ueh_repository,UEH/63686,Quản trị rủi ro tín dụng theo Basel II tại Ngân hàng TMCP Phương Đông,32.67,medium,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/63686,,,,,,2022,MASTER'S THESES,0,Lê Thanh Sơn,
An toàn thông tin,an toan thong tin,Quản trị rủi ro CNTT,quan tri rui ro cntt,2,ueh_repository,UEH/62486,Quản trị rủi ro hoạt động tín dụng tại Ngân hàng Nông nghiệp và Phát triển nông thôn Việt Nam - chi nhánh Vĩnh Long,32.67,medium,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/62486,,,,,,2021,MASTER'S THESES,0,Lưu Thanh Phong,
An toàn thông tin,an toan thong tin,Quản trị rủi ro CNTT,quan tri rui ro cntt,3,ueh_repository,UEH/61247,Quản trị rủi ro tín dụng theo Hiệp ước Basel II tại Ngân hàng Thương mại cổ phần Công thương Việt Nam - Chi nhánh Vĩnh Long,32.67,medium,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/61247,,,,,,2020,MASTER'S THESES,0,Bùi Thanh Linh Tuyền,
Bảo hiểm,bao hiem,Bảo hiểm nhân thọ,bao hiem nhan tho,1,tiki_book,259771506,Luật Kinh Doanh Bảo Hiểm,22.88,low,partial_course_tokens_in_title; exact_major_in_title,https://tiki.vn/luat-kinh-doanh-bao-hiem-p259771506.html?spid=259771507,51896,1.0,1,1,luật kinh tế; pháp luật kinh doanh,,,,,2.7329
Bảo hiểm,bao hiem,Bảo hiểm nhân thọ,bao hiem nhan tho,2,tiki_book,254205751,Luật Kinh doanh bảo hiểm,22.88,low,partial_course_tokens_in_title; exact_major_in_title,https://tiki.vn/luat-kinh-doanh-bao-hiem-p254205751.html?spid=259771445,51896,0.0,0,1,luật kinh tế; sách luật kinh tế; luật doanh nghiệp; pháp luật kinh doanh,,,,,0.6931
Bảo hiểm,bao hiem,Bảo hiểm nhân thọ,bao hiem nhan tho,3,tiki_book,195430105,Luật Kinh Doanh Bảo Hiểm (Bản in năm 2022),22.88,low,partial_course_tokens_in_title; exact_major_in_title,https://tiki.vn/luat-kinh-doanh-bao-hiem-ban-in-nam-2022-p195430105.html?spid=259771424,51896,0.0,0,1,luật kinh tế; pháp luật kinh doanh,,,,,0.6931
Bảo hiểm,bao hiem,Bảo hiểm nhân thọ,bao hiem nhan tho,1,ueh_repository,UEH/63650,Giải pháp hoàn thiện chiến lược marketing mix tại Công ty Bảo hiểm nhân thọ Generali Việt Nam,100.0,high,exact_course_in_title; exact_course_in_secondary_text; exact_major_in_title,https://digital.lib.ueh.edu.vn/handle/UEH/63650,,,,,,2022,MASTER'S THESES,0,Trần Thị Kim Thanh,
Bảo hiểm,bao hiem,Bảo hiểm nhân thọ,bao hiem nhan tho,2,ueh_repository,UEH/62656,Nghiên cứu sự hài lòng của khách hàng đối với dịch vụ bảo hiểm nhân thọ của Công ty Manulife Việt Nam được cung cấp bởi các ngân hàng đối tác,97.98,high,exact_course_in_title; partial_course_tokens_in_secondary_text; exact_major_in_title,https://digital.lib.ueh.edu.vn/handle/UEH/62656,,,,,,2021,MASTER'S THESES,0,Nguyễn Thị Kim Xuyến,
Bảo hiểm,bao hiem,Bảo hiểm nhân thọ,bao hiem nhan tho,3,ueh_repository,UEH/63321,Nghiên cứu sự ảnh hưởng của các áp lực công việc đối với hành vi bán hàng phi đạo đức trường hợp ngành bảo hiểm nhân thọ tại Việt Nam,94.16,high,exact_course_in_title; partial_course_tokens_in_secondary_text; exact_major_in_title,https://digital.lib.ueh.edu.vn/handle/UEH/63321,,,,,,2022,DISSERTATIONS,0,Nguyễn Thị Hồng,
Bảo hiểm,bao hiem,Bảo hiểm phi nhân thọ,bao hiem phi nhan tho,1,tiki_book,259771506,Luật Kinh Doanh Bảo Hiểm,18.98,low,partial_course_tokens_in_title; exact_major_in_title,https://tiki.vn/luat-kinh-doanh-bao-hiem-p259771506.html?spid=259771507,51896,1.0,1,1,luật kinh tế; pháp luật kinh doanh,,,,,2.7329
Bảo hiểm,bao hiem,Bảo hiểm phi nhân thọ,bao hiem phi nhan tho,2,tiki_book,254205751,Luật Kinh doanh bảo hiểm,18.98,low,partial_course_tokens_in_title; exact_major_in_title,https://tiki.vn/luat-kinh-doanh-bao-hiem-p254205751.html?spid=259771445,51896,0.0,0,1,luật kinh tế; sách luật kinh tế; luật doanh nghiệp; pháp luật kinh doanh,,,,,0.6931
Bảo hiểm,bao hiem,Bảo hiểm phi nhân thọ,bao hiem phi nhan tho,3,tiki_book,195430105,Luật Kinh Doanh Bảo Hiểm (Bản in năm 2022),18.98,low,partial_course_tokens_in_title; exact_major_in_title,https://tiki.vn/luat-kinh-doanh-bao-hiem-ban-in-nam-2022-p195430105.html?spid=259771424,51896,0.0,0,1,luật kinh tế; pháp luật kinh doanh,,,,,0.6931
Bảo hiểm,bao hiem,Bảo hiểm phi nhân thọ,bao hiem phi nhan tho,1,ueh_repository,UEH/62556,Rủi ro phí bảo hiểm và việc xác định khả năng thanh toán của các doanh nghiệp bảo hiểm phi nhân thọ tại Việt Nam,100.0,high,exact_course_in_title; exact_course_in_secondary_text; exact_major_in_title,https://digital.lib.ueh.edu.vn/handle/UEH/62556,,,,,,2021,MASTER'S THESES,0,Bùi Thị Tường Vy,
Bảo hiểm,bao hiem,Bảo hiểm phi nhân thọ,bao hiem phi nhan tho,2,ueh_repository,UEH/63650,Giải pháp hoàn thiện chiến lược marketing mix tại Công ty Bảo hiểm nhân thọ Generali Việt Nam,39.09,medium,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text; exact_major_in_title,https://digital.lib.ueh.edu.vn/handle/UEH/63650,,,,,,2022,MASTER'S THESES,0,Trần Thị Kim Thanh,
Bảo hiểm,bao hiem,Bảo hiểm phi nhân thọ,bao hiem phi nhan tho,3,ueh_repository,UEH/63321,Nghiên cứu sự ảnh hưởng của các áp lực công việc đối với hành vi bán hàng phi đạo đức trường hợp ngành bảo hiểm nhân thọ tại Việt Nam,37.86,medium,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text; exact_major_in_title,https://digital.lib.ueh.edu.vn/handle/UEH/63321,,,,,,2022,DISSERTATIONS,0,Nguyễn Thị Hồng,
Bảo hiểm,bao hiem,Quản trị rủi ro,quan tri rui ro,1,tiki_book,247287126,"Báo Cáo Tài Chính - Lập, Phân Tích Và Quản Trị Rủi Ro Về Thuế",81.78,high,exact_course_in_title; exact_course_in_secondary_text,https://tiki.vn/bao-cao-tai-chinh-lap-phan-tich-va-quan-tri-rui-ro-ve-thue-p247287126.html?spid=247287127,269000,0.0,0,3,phân tích tài chính; báo cáo tài chính; quản trị rủi ro ngân hàng,,,,,1.3863
Bảo hiểm,bao hiem,Quản trị rủi ro,quan tri rui ro,2,tiki_book,272436570,"Báo Cáo Tài Chính - Lập, Phân Tích Và Quản Trị Rủi Ro Về Thuế (14)",81.78,high,exact_course_in_title; exact_course_in_secondary_text,https://tiki.vn/bao-cao-tai-chinh-lap-phan-tich-va-quan-tri-rui-ro-ve-thue-14-p272436570.html?spid=273697517,268462,0.0,0,1,báo cáo tài chính; quản trị rủi ro ngân hàng,,,,,0.6931
Bảo hiểm,bao hiem,Quản trị rủi ro,quan tri rui ro,3,tiki_book,198591267,"Báo cáo tài chính - Lập, phân tích và quản trị rủi ro về thuế",81.78,high,exact_course_in_title; exact_course_in_secondary_text,https://tiki.vn/bao-cao-tai-chinh-lap-phan-tich-va-quan-tri-rui-ro-ve-thue-p198591267.html?spid=279341812,242100,0.0,0,,quản trị tài chính; phân tích tài chính; báo cáo tài chính; quản trị rủi ro ngân hàng; kiểm toán báo cáo tài chính,,,,,0.0
Bảo hiểm,bao hiem,Quản trị rủi ro,quan tri rui ro,1,ueh_repository,UEH/63686,Quản trị rủi ro tín dụng theo Basel II tại Ngân hàng TMCP Phương Đông,71.49,high,exact_course_in_title; exact_course_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/63686,,,,,,2022,MASTER'S THESES,0,Lê Thanh Sơn,
Bảo hiểm,bao hiem,Quản trị rủi ro,quan tri rui ro,2,ueh_repository,UEH/63898,Quản trị rủi ro tín dụng tại Ngân hàng TMCP Tiên Phong trong điều kiện áp dụng Basel II,71.49,high,exact_course_in_title; exact_course_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/63898,,,,,,2022,MASTER'S THESES,0,Phạm Thị Phương Anh,
Bảo hiểm,bao hiem,Quản trị rủi ro,quan tri rui ro,3,ueh_repository,UEH/62148,Quản trị rủi ro tín dụng theo chuẩn mực Basel II tại Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,71.49,high,exact_course_in_title; exact_course_in_secondary_text,https://digital.lib.ueh.edu.vn/handle/UEH/62148,,,,,,2021,MASTER'S THESES,0,Nguyễn Minh Thư,
Bảo hiểm,bao hiem,Toán bảo hiểm,toan bao hiem,1,tiki_book,259771506,Luật Kinh Doanh Bảo Hiểm,33.93,medium,partial_course_tokens_in_title; exact_major_in_title,https://tiki.vn/luat-kinh-doanh-bao-hiem-p259771506.html?spid=259771507,51896,1.0,1,1,luật kinh tế; pháp luật kinh doanh,,,,,2.7329
Bảo hiểm,bao hiem,Toán bảo hiểm,toan bao hiem,2,tiki_book,254205751,Luật Kinh doanh bảo hiểm,33.93,medium,partial_course_tokens_in_title; exact_major_in_title,https://tiki.vn/luat-kinh-doanh-bao-hiem-p254205751.html?spid=259771445,51896,0.0,0,1,luật kinh tế; sách luật kinh tế; luật doanh nghiệp; pháp luật kinh doanh,,,,,0.6931
Bảo hiểm,bao hiem,Toán bảo hiểm,toan bao hiem,3,tiki_book,195430105,Luật Kinh Doanh Bảo Hiểm (Bản in năm 2022),33.93,medium,partial_course_tokens_in_title; exact_major_in_title,https://tiki.vn/luat-kinh-doanh-bao-hiem-ban-in-nam-2022-p195430105.html?spid=259771424,51896,0.0,0,1,luật kinh tế; pháp luật kinh doanh,,,,,0.6931
Bảo hiểm,bao hiem,Toán bảo hiểm,toan bao hiem,1,ueh_repository,UEH/62556,Rủi ro phí bảo hiểm và việc xác định khả năng thanh toán của các doanh nghiệp bảo hiểm phi nhân thọ tại Việt Nam,41.82,medium,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text; exact_major_in_title,https://digital.lib.ueh.edu.vn/handle/UEH/62556,,,,,,2021,MASTER'S THESES,0,Bùi Thị Tường Vy,
Bảo hiểm,bao hiem,Toán bảo hiểm,toan bao hiem,2,ueh_repository,UEH/61129,Nâng cao chất lượng dịch vụ bảo hiểm y tế của Bảo hiểm xã hội huyện Châu Thành tỉnh Sóc Trăng,36.62,medium,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text; exact_major_in_title,https://digital.lib.ueh.edu.vn/handle/UEH/61129,,,,,,2021,MASTER'S THESES,0,Nguyễn Quốc Khởi,
Bảo hiểm,bao hiem,Toán bảo hiểm,toan bao hiem,3,ueh_repository,UEH/63301,Trách nhiệm bồi thường của Doanh nghiệp Bảo hiểm trong Bảo hiểm bắt buộc trách nhiệm Dân sự của chủ xe cơ giới tại Việt Nam,36.62,medium,partial_course_tokens_in_title; partial_course_tokens_in_secondary_text; exact_major_in_title,https://digital.lib.ueh.edu.vn/handle/UEH/63301,,,,,,2021,MASTER'S THESES,0,Nguyễn Quang Trung,
Bảo hiểm,bao hiem,Tái bảo hiểm,tai bao hiem,1,tiki_book,90527686,"Luật Kinh Doanh Bảo Hiểm (Hiện Hành) (Sửa Đổi, Bổ Sung Năm 2010, 2019) - Tái Bản",35.9,medium,partial_course_tokens_in_title; exact_major_in_title,https://tiki.vn/luat-kinh-doanh-bao-hiem-hien-hanh-sua-doi-bo-sung-nam-2010-2019-tai-ban-p90527686.html?spid=259771435,51896,0.0,0,1,pháp luật kinh doanh,,,,,0.6931
Bảo hiểm,bao hiem,Tái bảo hiểm,tai bao hiem,2,tiki_book,259771506,Luật Kinh Doanh Bảo Hiểm,32.06,medium,partial_course_tokens_in_title; exact_major_in_title,https://tiki.vn/luat-kinh-doanh-bao-hiem-p259771506.html?spid=259771507,51896,1.0,1,1,luật kinh tế; pháp luật kinh doanh,,,,,2.7329
Bảo hiểm,bao hiem,Tái bảo hiểm,tai bao hiem,3,tiki_book,254205751,Luật Kinh doanh bảo hiểm,32.06,medium,partial_course_tokens_in_title; exact_major_in_title,https://tiki.vn/luat-kinh-doanh-bao-hiem-p254205751.html?spid=259771445,51896,0.0,0,1,luật kinh tế; sách luật kinh tế; luật doanh nghiệp; pháp luật kinh doanh,,,,,0.6931
