student_token,user_id,major
stu_456ada0508e35a13,233,Thị trường chứng khoán
stu_45d983cfe131dd2b,234,Kế toán công
stu_45e966dd3e909e05,235,Ngân hàng
stu_45ec62aa98aea38e,236,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_46627281ef093aa1,237,Kinh doanh thương mại
stu_46658add19f671d1,238,Khoa học máy tính
stu_466c2d4b42cb3249,239,Quản trị kinh doanh
stu_46abe212b94f5cb8,240,Kinh tế đầu tư
stu_4704e773a301d345,241,Công nghệ và đổi mới sáng tạo
stu_47315a9b8feae56f,242,Kiến trúc và thiết kế đô thị thông minh
stu_4735a13262f6931b,243,Ngân hàng
stu_474cac777d90c318,244,Kinh tế đầu tư
stu_476355cf24d2d01b,245,Kinh doanh thương mại
stu_4790a41ac3014bf5,246,Công nghệ Tài chính
stu_483c5af7f1037b30,247,Kinh doanh số
stu_4906e72164bca1eb,248,Kinh tế đầu tư
stu_49975c4d78f32aa6,249,Công nghệ Tài chính
stu_49f90642c6c8fd85,250,Kinh doanh thương mại
stu_4af057d8767ad157,251,Kinh tế đầu tư
stu_4b037dfa5392e3d6,252,Công nghệ và đổi mới sáng tạo
stu_4b1d8f55afaa08c6,253,Kế toán công
stu_4caa547a35170722,254,Quản lý công
stu_4cceb31835dd2db1,255,Kinh doanh số
stu_4d2fadc6e206dcc1,256,Thị trường chứng khoán
stu_4d5d6102d53ae5bb,257,Khoa học máy tính
stu_4de5a01e01a1e588,258,Kinh tế đầu tư
stu_4dee2eed8e1a0fb9,259,Kinh doanh thương mại
stu_4e1390d12af9bdfd,260,Công nghệ Tài chính
stu_4fa3346b774980fe,261,Công nghệ Tài chính
stu_4fee16b200c01cad,262,Quản lý công
stu_500e8bb0a665df8e,263,Kinh tế đầu tư
stu_501dd097a40d7ac2,264,Ngân hàng
stu_50491eac8b6564d3,265,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_504d8a567c6f701c,266,Kinh doanh thương mại
stu_506ff7c8fd23dbba,267,Công nghệ nghệ thuật - ArtTech
stu_509df207a0a58772,268,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_50e2e3eb6a51fef6,269,Quản trị kinh doanh
stu_5167195d214292e7,270,Công nghệ và đổi mới sáng tạo
stu_5173bfc9c794fba6,271,Quản lý công
stu_51c3a0e68be68cc9,272,Công nghệ Tài chính
stu_51d1689a3e54b78b,273,Kinh doanh số
stu_52a69c7c5e697360,274,Công nghệ nghệ thuật - ArtTech
stu_52f96fd3b574acdc,275,Marketing
stu_530dc9bf55657acc,276,Ngân hàng
stu_53326ff73dbce0e6,277,Công nghệ thông tin
stu_538095b7d63ba344,278,Công nghệ Tài chính
stu_539c9ead59666c8b,279,Kinh doanh thương mại
stu_540ec1323640a712,280,Kế toán công
stu_54612d49b3156eb6,281,Kiến trúc và thiết kế đô thị thông minh
stu_54612f29017ef1f8,282,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_54d98aaf4646b7e7,283,Kế toán công
stu_550759eeee5c02ba,284,Công nghệ thông tin
stu_559cd867006cd2ea,285,Marketing
stu_55deead3d24a4be3,286,Kế toán công
stu_55eab45189606d50,287,Thị trường chứng khoán
stu_564247854bfac6b6,288,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_5667c3728a235656,289,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_568769f93e752943,290,Công nghệ thông tin
stu_56ece45b73719b87,291,Công nghệ Tài chính
stu_5709df5774529c0d,292,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_5813fc0d6b7846ad,293,Kinh doanh số
stu_58229738120afab7,294,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_5871e6909d41b8cd,295,Marketing
stu_587fe925cf9367f1,296,Công nghệ nghệ thuật - ArtTech
stu_588e8f56121670e8,297,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_5896de9eda17229e,298,Kiến trúc và thiết kế đô thị thông minh
stu_58f6d376850ca7d2,299,Kinh doanh thương mại
stu_59176c1b825ce109,300,Công nghệ Tài chính
stu_59de92b6f9f16549,301,Công nghệ nghệ thuật - ArtTech
stu_59eedfb3321b883c,302,Quản lý công
stu_59f6dfc481d038cc,303,Khoa học máy tính
stu_59fbae68bc8e79c6,304,Kinh tế đầu tư
stu_5a1a42c501042c91,305,Kế toán công
stu_5a37b82ca5a29bcc,306,Công nghệ và đổi mới sáng tạo
stu_5ab5526a4b57b3ee,307,Công nghệ Tài chính
stu_5abc5f05bcdaa1cf,308,Công nghệ Tài chính
stu_5af2e469f822e4d0,309,Khoa học máy tính
stu_5b0caf833b600b62,310,Công nghệ thông tin
stu_5b257cc72552ab01,311,Quản lý công
stu_5b4d2336accce430,312,Marketing
stu_5b704c6711290a80,313,Ngân hàng
stu_5b812c3ff4ddd511,314,Công nghệ và đổi mới sáng tạo
stu_5bbef4f24884334f,315,Marketing
stu_5bfa66e934d15278,316,Công nghệ Tài chính
stu_5c2a456eb8eacac3,317,Công nghệ thông tin
stu_5cd4d57210db05e1,318,Kế toán công
stu_5d66ec9a125cac45,319,Ngân hàng
stu_5d98bc9300d96405,320,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_5de60144d72bc4dd,321,Kiến trúc và thiết kế đô thị thông minh
stu_5e115595deefe961,322,Quản lý công
stu_5e1700d5197a60d5,323,Kiến trúc và thiết kế đô thị thông minh
stu_5e7bbb5a0898038f,324,Công nghệ và đổi mới sáng tạo
stu_5e8811e2a937fee3,325,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_5f01d7ffecca7c06,326,Công nghệ thông tin
stu_5f8695620d3b40dc,327,Công nghệ nghệ thuật - ArtTech
stu_5fbd832a72ecf688,328,Quản lý công
stu_5fbf1256d9589dd3,329,Khoa học máy tính
stu_5fef66bbeab28f38,330,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_601c837fdbe73a19,331,Kinh tế đầu tư
stu_6032012828ecf865,332,Kinh doanh số
stu_60475164fa4b7050,333,Kinh doanh số
stu_60bdb20256cb07ca,334,Quản lý công
stu_611575e92760cb42,335,Kinh doanh số
stu_613445194243d26a,336,Kiến trúc và thiết kế đô thị thông minh
stu_6145fcbc0bc23320,337,Kiến trúc và thiết kế đô thị thông minh
stu_617081fa88c14444,338,Kiến trúc và thiết kế đô thị thông minh
stu_6175f5f8a27fd2c7,339,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_61c1f5ec15f58796,340,Quản lý công
stu_62700c5411b71152,341,Kế toán doanh nghiệp
stu_62afb09013b2dd16,342,Kế toán doanh nghiệp
stu_62d9541eb315c620,343,Công nghệ thông tin
stu_62ff6495ee196b12,344,Quản lý công
stu_639bbfd88ea8de00,345,Ngân hàng
stu_63aae67ede012222,346,Quản lý công
stu_647a18f6c01fd9d2,347,Kinh doanh số
stu_64a377d6d0789fc0,348,Khoa học máy tính
stu_64ad013ffe1207a6,349,Quản lý công
stu_65d6092b34439d5b,350,Kinh doanh số
stu_6618aa041a6936dc,351,Kinh doanh thương mại
stu_66240f47f8bb0ebb,352,Quản trị kinh doanh
stu_6624e77f3e29035b,353,Ngân hàng
stu_66d64493edc58b11,354,Công nghệ nghệ thuật - ArtTech
stu_66f0c7c5173b6af9,355,Quản trị kinh doanh
stu_67629aaf94f94480,356,Công nghệ thông tin
stu_677b96bbdd30b075,357,Công nghệ Tài chính
stu_67837bfa7f5f86f2,358,Kiến trúc và thiết kế đô thị thông minh
stu_678d59e2c6f3d01a,359,Quản lý công
stu_67afa1617cb21661,360,Kinh tế đầu tư
stu_682fd8ed20d6d28b,361,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_685eb296dc8c79b6,362,Quản trị kinh doanh
stu_68b38709381cba76,363,Quản lý công
stu_68f12975f08411a3,364,Thị trường chứng khoán
stu_68f1cb0196193615,365,Thị trường chứng khoán
stu_69128c528af58195,366,Công nghệ và đổi mới sáng tạo
stu_692ec07fed34a4fb,367,Kinh doanh số
stu_69ad10cc497e0a1b,368,Quản trị kinh doanh
stu_69bd0c4ff00d7392,369,Công nghệ và đổi mới sáng tạo
stu_69fef6cdcb0042e9,370,Quản lý công
stu_6a11fe4bcde12ad9,371,Quản trị kinh doanh
stu_6a3cb605289c0bf2,372,Khoa học máy tính
stu_6a6d29d3c4b8438e,373,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_6a99225648561d1b,374,Kế toán công
stu_6af0bc9e8676fe10,375,Công nghệ thông tin
stu_6b2dae4e4818f468,376,Thị trường chứng khoán
stu_6b42e20634e37af9,377,Quản trị kinh doanh
stu_6ba5de8be3bed59c,378,Kế toán doanh nghiệp
stu_6ba6b1a68f6f3a88,379,Công nghệ nghệ thuật - ArtTech
stu_6c5e9f1f0f92f7b3,380,Ngân hàng
stu_6cf21cc550869290,381,Công nghệ thông tin
stu_6d4b2e77fc48f968,382,Quản trị kinh doanh
stu_6dbaaa85d8eaf400,383,Công nghệ Tài chính
stu_6ddd8232101979e1,384,Marketing
stu_6de98d9bcddd06dd,385,Kiến trúc và thiết kế đô thị thông minh
stu_6e183840812752f5,386,Quản lý công
stu_6e25a3c0d9f7a235,387,Kinh doanh số
stu_6e4e8f27ba83315c,388,Công nghệ Tài chính
stu_6e5967910832e68d,389,Kinh tế đầu tư
stu_6e73b790820b8d8c,390,Marketing
stu_6ebdc047ab979edc,391,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_6ee218d3fffc49e2,392,Kế toán công
stu_6ee24ff5bb5871d1,393,Kiến trúc và thiết kế đô thị thông minh
stu_6f0746ecfe979a0f,394,Kinh doanh số
stu_6f20bb411eb68797,395,Kinh doanh thương mại
stu_6faf7a0e0e1a98d0,396,Công nghệ nghệ thuật - ArtTech
stu_6fb9112154854310,397,Kiến trúc và thiết kế đô thị thông minh
stu_6fd8282a93d5e4bd,398,Kế toán doanh nghiệp
stu_70247d517d2d1a8e,399,Marketing
stu_7038da631408a5b6,400,Quản lý công
stu_7042a8cb2209c2b9,401,Kinh doanh thương mại
stu_705b7debfb64982a,402,Ngân hàng
stu_70ea32aca9ecc9de,403,Kinh tế đầu tư
stu_70eabafb0e0b45aa,404,Công nghệ thông tin
stu_71ec0237158d65ef,405,Kinh tế đầu tư
stu_71ede728785c661c,406,Kế toán công
stu_721018450e033b49,407,Kế toán công
stu_72a5eb87e07be9bf,408,Công nghệ thông tin
stu_72aa013012b0848b,409,Kế toán doanh nghiệp
stu_72ac549dbe5ade40,410,Kế toán công
stu_72cdec30864e9c2c,411,Công nghệ Tài chính
stu_730013641509efb9,412,Ngân hàng
stu_7314c0991bdab0df,413,Kinh doanh số
stu_73a25e6f286c7ab0,414,Marketing
stu_73aaaa21b9518f5f,415,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_73b6db674005267a,416,Công nghệ thông tin
stu_73c782de504ad1b9,417,Công nghệ Tài chính
stu_73f9c21514598d6b,418,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_742d246d3763b665,419,Kiến trúc và thiết kế đô thị thông minh
stu_74967c0eb1286fea,420,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_74afbae848a93e3f,421,Marketing
stu_74c59540811a0f08,422,Công nghệ nghệ thuật - ArtTech
stu_75655afed7bea994,423,Thị trường chứng khoán
stu_75bc0b440eeed455,424,Quản trị kinh doanh
stu_761cf90793019e69,425,Kiến trúc và thiết kế đô thị thông minh
stu_7679028d55b23ec4,426,Kiến trúc và thiết kế đô thị thông minh
stu_774610d3082053b9,427,Quản lý công
stu_77672b0c65904a84,428,Công nghệ và đổi mới sáng tạo
stu_776f3f8100ce2e55,429,Kiến trúc và thiết kế đô thị thông minh
stu_77a54c3ecd309173,430,Công nghệ và đổi mới sáng tạo
stu_77a8ff9452740fda,431,Công nghệ và đổi mới sáng tạo
stu_77df32deb018e7d0,432,Công nghệ Tài chính
stu_77fba46facdba1bf,433,Hệ thống hoạch định nguồn lực doanh nghiệp
stu_77fe0f90511d2b55,434,Kinh doanh thương mại
stu_780c94c7377e342f,435,Ngân hàng
stu_78154b5a77260fcf,436,Công nghệ và đổi mới sáng tạo
stu_7866af1fcd8ec6e8,437,Công nghệ Tài chính
stu_786f4c7d5e3c8924,438,Quản trị kinh doanh
stu_789c1996c7ce52ab,439,Thị trường chứng khoán
stu_78a57814db23c595,440,Công nghệ Tài chính
stu_78a9213310e28b33,441,Thị trường chứng khoán
stu_78c3007d9c0e9cb9,442,Thị trường chứng khoán
stu_78c63b31582d3db1,443,Thị trường chứng khoán
stu_78fc606115a0cfab,444,Công nghệ nghệ thuật - ArtTech
stu_792e2a9755944b94,445,Khoa học máy tính
stu_797e4124ff7dd110,446,Khoa học máy tính
stu_79a20003619e3aaf,447,Thị trường chứng khoán
stu_7a300b055fd65dc2,448,Kinh doanh số
stu_7a7f50201ac7be50,449,Kinh doanh số
stu_7a9090ab8059832b,450,Công nghệ nghệ thuật - ArtTech
stu_7aa6030c44d1dc99,451,Quản trị kinh doanh
stu_7b0371ce991021cc,452,Kinh doanh thương mại
stu_7b27f7debe13750f,453,Kế toán doanh nghiệp
stu_7c185f26d8ab08eb,454,Công nghệ thông tin
stu_7c8c7bc68709da6c,455,Quản trị kinh doanh
stu_7d1867d384ff540a,456,Ngân hàng
stu_7d2b52d2d922195b,457,Quản lý công
stu_7e096a26aef08ae0,458,Công nghệ Tài chính
stu_7e39c98e4ebc8d79,459,Quản trị kinh doanh
stu_7e8dd8e5ce0b2ac9,460,Ngân hàng
stu_7e973b54d496b69a,461,Kinh tế đầu tư
stu_7e9977966de306cd,462,Công nghệ nghệ thuật - ArtTech
stu_7ea626ee8fb150ff,463,Kế toán doanh nghiệp
stu_7eca5717539a0751,464,Công nghệ nghệ thuật - ArtTech
stu_7f1eda3fab6aca2c,465,Marketing
stu_7f6de2f7a4ee56bf,466,Thị trường chứng khoán
